amerikanische americana
rechtsanwalt advogado
western western
liverpool liverpool
akt ato
boris boris
legend legend
begründungen justificativas
konflikten conflitos
episoden episódios
kurve curva
\\ \\
windsor windsor
verstärkung reforço
dollar dólares
warschau varsóvia
literarische literária
salz sal
komplexe complexas
academy academy
friedhof cemitério
aufgeben abandonar
hard hard
schließlich finalmente
david david
abc abc
freiheit liberdade
flügel ala
k k
er ele
gebrochen quebrado
kolonien colônias
suche busca
themen temas
übertragung transmissão
fame fame
youtube youtube
überlebenden sobreviventes
fertiggestellt concluído
übernimmt assume
know know
endgültig definitivamente
erreicht alcança
formell formalmente
marschall marechal
sich se
bridge bridge
geschriebenen escritos
fällt fica
ihre suas
nfl nfl
che che
angewandt aplicado
kommerzielle comercial
weimar weimar
spitznamen apelido
foto foto
black black
rhythm rhythm
tradition tradição
dick tom
älteren velhos
übte exerceu
gültigkeit validade
dell dell
obama obama
sprach falava
gran gran
alte antigo
papstes papal
liturgie liturgia
commonwealth commonwealth
brachten trouxeram
berechnung cálculo
australische australiana
route rota
das o
erwachsenen adultos
katholischer católico
vor ocorrendo
domenico francesco
szenen cenas
roosevelt roosevelt
ghz ghz
praktische prático
getreide cereais
konstantinopel constantinopla
palermo palermo
universum universo
gruppierung facção
rangers rangers
angeles angeles
reise viagem
zeichner desenhista
made made
phillips phillips
fiat fiat
verstehen entender
erfolgreichen sucedidos
gedichte poesias
hamilton hamilton
great great
notwendig necessário
lesern leitores
zeuge testemunha
europa europa
pflanzen plantas
beliebte populares
karibik caribe
persönlichkeit personalidade
methode método
herzegowina herzegovina
privaten privados
muß preciso
ideal ideal
season season
freedom freedom
äußerungen declarações
hongkong hong
moschee mesquita
erklären explicar
railway railway
entworfen desenhado
xi xi
software software
girls girls
duell duelo
mathematische matemáticas
statuen estátuas
flotte frota
education education
jazz jazz
raum espaço
vereinten unidas
luc luc
solange senão
country country
remis empate
bleiben permanecer
geborene nascida
tageszeitung jornal
erfindung invenção
performance performance
charakter caráter
rote vermelho
catholic catholic
büste busto
olympiasieger medalhista
media media
verhinderte impediu
titeln títulos
military military
regulären completos
oben acima
geschwindigkeiten velocidades
gruppen grupos
sitze assentos
teams equipes
bezeichnung designação
audio audio
zusätzliche adicional
tendenz tendência
brechen quebrar
again again
fleisch carne
wohl talvez
berechnen calcular
kampf luta
veränderungen alterações
wahrheit verdade
cincinnati cincinnati
vertretern representantes
bedrohung ameaça
sowjetunion urss
anfänglich inicialmente
gehörenden pertencentes
entfallen excluindo
nichts nada
ron ron
beleidigung ofensa
kg kg
opposition oposição
kapitalismus capitalismo
vollkommen completamente
wieviele quantas
wieder voltando
dylan dylan
malen pintar
ersetzen substituir
farbe cor
finde achei
christliche cristã
françois françois
religiösen religiosos
grabungen escavações
vorfahren antepassados
künstliche artificial
schauspieler ator
spanien espanha
jahren anos
industrielle industrial
stieg subiu
vitamin vitamina
mass mass
zwei duas
gemeinsame partilha
osmanische otomano
football football
kay kay
arms arms
variationen variações
schöne bela
moore moore
organismus organismo
mausoleum mausoléu
file file
genug vendo
akzeptabel aceitável
tell tell
häuser casas
status status
india india
new new
normal normal
grand grand
store store
liberal liberal
sojus soyuz
murray murray
pat pat
besuchern visitantes
percy percy
einfache simples
unternehmer empresário
trinken beber
rasch rapidamente
minnesota minnesota
über sobre
phoenix phoenix
erlaubte permitia
aktiver activo
klasse classe
society society
asiatischen asiáticos
büro escritório
persönliche pessoal
southern southern
ii ii
gestohlen roubado
zugleich tornando
konventionen convenções
singular singular
bieten oferecem
level level
verurteilung condenação
andrea andrea
bekannten conhecidos
enthielt continha
akademie academia
fasste definiu
ermöglichen proporcionar
gesundheit saúde
id id
rekord recorde
äußersten extremo
plattformen plataformas
grüßen saudações
lateinische latim
bristol bristol
strömung corrente
urban urban
erfolgreiche sucedida
geoffrey geoffrey
provinz província
denver denver
gas gás
government government
dauerhaft permanentemente
rebecca rebecca
noch ainda
integration integração
variable variável
hals pescoço
hauptstraße rua
definitionen definições
konzession concessão
senat senado
view view
posten cargo
living living
spanier espanhóis
bein perna
dinge coisas
plan plano
chirurg cirurgião
kaiserliche imperial
afrika áfrica
modern modern
moral moral
wachsen crescem
hypothese hipótese
zeigen mostram
sohn filho
empfangsgebäude apeadeiro
regionen regiões
wiederholen repetir
ff cf
bürgermeister prefeito
kranken doentes
trainer treinador
verliebt apaixona
dynastie dinastia
verantwortlichen responsáveis
schwachen fracos
pyrénées pyrénées
markierte marcando
zeigten mostraram
theory theory
boys boys
risiko risco
regiert governado
abhängigkeit dependência
agent agente
widmen dedicar
newton newton
biografie biografia
laut acordo
px px
befinden localizam
befassen relacionados
gleichungen equações
monitor monitor
ballade balada
kommunikation comunicação
arbeitnehmer trabalhador
lebte viveu
hilfe ajuda
gebildet formado
frei livremente
null zero
protesten protestos
anerkennung reconhecimento
brüssel bruxelas
derby derby
zählen incluem
besaß possuía
weigerte recusou
ma ma
wenige poucas
abtei abadia
atari atari
alan trevor
gerade lembrando
erlangte obteve
trikot camisa
routen rotas
siedlung povoado
initiative iniciativa
verdacht suspeita
stern estrela
infobox infobox
kathedrale catedral
manga mangá
kriegsmarine kriegsmarine
doppel duplas
shell shell
lokomotive locomotiva
doktor doutor
daten dados
jahrtausend milênio
atlanta atlanta
institute institute
kleinere pequenas
einzel individual
rumänien roménia
netze redes
miami miami
satelliten satélites
stattfand ocorreu
gewinne lucros
deutsche alemã
rasse raça
lied canção
alphabet alfabeto
another another
zerstörung destruição
allgemeinen geral
bis até
geschlossenen fechados
wuchs cresceu
maske máscara
jubiläum comemoração
donald donald
bibliothek biblioteca
history history
latin latin
live vivo
studio studio
erfahrung experiência
factor factor
flugzeuge aeronaves
juristischen jurídicos
erklärte declarou
italienischen italiana
komiker comediante
erscheinung aparecendo
teilnehmenden participantes
gloria gloria
middle middle
einnehmen tomar
works works
ehemann marido
bulgarien bulgária
schauspielern atores
antarktis antártida
mähren morávia
bewaffnung armamento
platz lugar
l l
besuchen visitar
hinzugefügt adicionada
television television
stil estilo
massachusetts massachusetts
ralph ralph
ursprung origem
sprache língua
dragon dragon
gun gun
persönlichkeiten personalidades
brachte trouxe
stationen estações
kleidung roupas
online online
like like
leder couro
race race
revolution revolução
kommunistischen comunista
jamie jamie
offenbar aparentemente
bar bar
lloyd lloyd
wohin lá
ein um
ionen íons
hauptfigur personagem
killer killer
fakultäten faculdades
sein seu
christentum cristianismo
erlitten sofrido
arbeitete trabalhou
girl girl
unterstützung apoio
grenzen limites
geschützt protegido
lettland estônia
video vídeo
clinton clinton
ursprünge origens
boden chão
volume chapter
schäden danos
erwartungen expectativas
playoffs playoffs
schutz proteção
irischer irlandês
queensland queensland
con con
bewegungen movimentos
ermitteln determinar
bemüht buscando
biography biography
datei ficheiro
deren cujas
treppe escada
neapel nápoles
innenhof pátio
variation variação
universitäten universidades
euro euros
siebte nono
alkohol álcool
auftauchen aparecer
zuschauer espectadores
nicole diane
rouge rouge
science science
leben viver
kapitulation rendição
geometrie geometria
restlichen restantes
individuen indivíduos
minderheit minoria
bild imagem
through into
greene greene
córdoba córdoba
books books
erweitert ampliado
stewart stewart
getrennten separados
sizilien sicília
monarchie monarquia
nacheinander sucessivamente
tägliche diária
ermöglicht possibilita
fusion fusão
empfiehlt recomenda
ersetzte substituiu
typischerweise tipicamente
pablo pablo
discovery discovery
marie marie
weniger menos
the the
look look
griechenland grécia
pionier pioneiro
katastrophe desastre
öffentlicher pública
spd pmdb
schwestern irmãs
laufe decorrer
größte maior
slowakei eslováquia
kampagne campanha
eingeführten introduzidos
dictionary dictionary
liebe amor
sorry desculpe
fuß pé
mit com
apple apple
bett cama
potential potencial
paris paris
take take
florenz florença
vetter neto
mehrere várias
himmel céu
eingeführt introduzido
tempel templo
projekt projeto
herrscher governante
berühmten famosos
walt walt
erwarb adquiriu
krankheiten doenças
schrieben escreveram
format formato
hollywood hollywood
wahr assumindo
bereitet prepara
dvd dvd
verboten proibido
norwegischen norueguesa
do so
nachhaltige sustentável
vergangenheit passado
freundin namorada
guitar guitar
sysop edit
journalisten jornalistas
olivier olivier
led led
bank banco
marke marca
men men
längere longo
rick chris
jacob jacob
begriffsklärung desambiguação
katharina ana
enthalten contêm
verfügbaren disponíveis
inszenierung encenação
eignen utilizam
kopenhagen copenhague
innovation inovação
petersburg petersburgo
emma emma
ermöglichte permitiu
einschränkung restrição
eigentum propriedade
sowieso prefiro
fisher fisher
entdeckt descoberto
aktivität atividade
schönheit beleza
ice ice
gewebe tecido
selten raro
camp camp
england inglaterra
bay bay
behauptung afirmação
organismen organismos
positive positiva
profile profile
folgenden seguintes
strukturen estruturas
fällen casos
parlamentarische parlamentar
fischen peixes
weiterer nomeadamente
queen queen
ausschließlich exclusivamente
woche semana
sperre bloqueio
irish irish
angeboten oferecido
hätte poderia
lyon lyon
ausstellung exposição
beurteilung avaliação
wiederum qual
verwirrung confusão
ferrari ferrari
revision revisão
africa africa
unterzogen submetido
finnland finlândia
teilnahmen participaram
otto otto
lady lady
m/s m/s
verpflichtete contratou
katholiken católicos
triumph triunfo
schwerpunkt voltada
leicht levemente
oscar óscar
marino marino
masse massa
peru peru
schlange serpente
hört ouve
reguläre regular
organisierte organizou
vandalismus vandalismo
norden noroeste
chronologie cronologia
dj dj
layout layout
jonas jonas
gelobt elogiado
gedicht poema
gemeinsam juntamente
schenkung doação
der da
betrachten considerar
double double
prix prix
bestätigung confirmação
erleichtern facilitar
könige reis
regierungsbezirk mesorregião
four four
magen estômago
buddhismus budismo
generationen gerações
sing sing
left left
ungewöhnliche incomum
gesamten toda
basis base
rgb rgb
ken ken
wollten queriam
erfinder inventor
welten mundos
implementierung implementação
kleinen pequenos
bezieht refere
kürzere curto
einzelner destas
bänden volumes
system sistema
teilnehmen participar
mac mac
theoretischen teóricos
aufgeführten constam
gegen contra
polnischen polonesa
i i
nachfolgerin sucessora
mitgliedschaft filiação
unix unix
unfall acidente
vgl vide
alternative alternativa
dead dead
disziplin disciplina
kolonie colônia
kavallerie cavalaria
häfen portos
jerusalem jerusalém
charles charles
ministerium ministério
niederlassung filial
programmen programas
übernehmen desempenhar
tim jeff
corpus corpus
festival festival
verteidigt defendido
aufweist apresenta
connecticut connecticut
gelten consideradas
kill kill
temple temple
währung moeda
map map
politisch politicamente
arbeitslosigkeit desemprego
wc wc
office office
english english
vermeiden evitar
übergab entregou
rugby rugby
kohle carvão
aids aids
rassismus racismo
ist é
savoyen saboia
herstellung fabricação
herzogtum ducado
türkei turquia
orchestra orchestra
erwartet espera
sitzung sessão
public public
bassist baixista
massaker massacre
spezifischen específicos
physik física
material material
zahlreiche numerosas
vorredner concordo
cap cap
op op
verstehe entendi
sur sur
falsch errado
radikalen radicais
gemälden pinturas
beton concreto
liechtenstein liechtenstein
unterschrift assinatura
fe fe
verstecken esconder
zentren centros
mercury mercury
ips ips
erhöhen aumentar
freiwilligen voluntários
stabilität estabilidade
navigation navegação
marc chad
voice voice
preis prêmio
kombination combinação
legenden lendas
ihr lhe
beantragen solicitar
germany germany
css css
belgische belga
kontakt contato
ibn ibn
apollo apollo
woods woods
kirchen igrejas
regelmäßig regularmente
god god
verluste perdas
übungen exercícios
sämtlichen todos
ro ro
atlantic atlantic
unabhängig independentemente
east east
erhöhte aumentando
spielern jogadores
league league
februar outubro
moment momento
flandern flandres
insbesondere especialmente
rebellion rebelião
underground underground
versuchten tentaram
komponierte compôs
princeton princeton
suite suite
permanent continue
gefundenen encontrados
mechanismus mecanismo
verblieb permanecendo
algorithmus algoritmo
libanon líbano
joint joint
alfred alfred
wissenschaftliche científico
core core
at at
pacific pacific
zufrieden satisfeito
mail mail
chor coro
hälfte metade
san san
stanford stanford
musikern músicos
scheinen parecem
ronald ronald
element elemento
drei três
wirtschaft economia
heiraten casar
intensität intensidade
vieh gado
star star
wein vinho
betätigte colaborou
bankier banqueiro
stalin stalin
re re
aussehen aparência
turm torre
skandal escândalo
bier cerveja
phantom phantom
verstarb faleceu
ausgetragen disputado
community community
wappen brasão
räuber bando
guild guild
schwerpunkte voltadas
systemen sistemas
afrikanische africana
siebenbürgen transilvânia
california california
version versão
begriffes sinônimo
opus opus
oslo oslo
d d
delegation delegação
komponisten compositores
william william
konzentrieren concentrar
unser nosso
rap rap
virtuelle virtual
britischen britânica
revolutionär revolucionário
ben ben
historiker historiador
camille camille
fl fl
teilgenommen participado
populationen populações
königlichen real
speed speed
diesem neste
events promoções
wasserstoff hidrogênio
milliarden bilhões
point point
handelte tratava
fängt vai
rights rights
player player
überarbeitet melhorado
fliehen fugir
wem você
teilnahm participou
pi pi
islamischen islâmica
entfernen remover
eingang entrada
british british
kreuz cruz
ländliche rural
professor professor
eigenen própria
caroline caroline
ep ep
unterseite aba
wichtige importante
six six
adventures adventures
johnson johnson
stürzt cai
bekannteste famosa
visuelle visuais
adressen endereços
missionen missões
den os
award award
lehrt ensina
diskografie discografia
mittelalterlichen medievais
aufl ed
tiger tiger
milano milano
kategorie categoria
misst mede
beatles beatles
prinz príncipe
album álbum
gewählten eleitos
modul módulo
eingetragen obs
jahr ano
sp db
regen chuva
feat feat
kroatien croácia
hurrikan furacão
betreuung cuidados
murder murder
space space
verwechselt confundido
palm palm
palästina palestina
jeweilige respectivo
volksmund popularmente
erscheinungsbild aspecto
vereint incorpora
hohes elevado
eltern pais
monster monstro
publizierte publicou
scheidung divórcio
aviv aviv
schrein santuário
ansätze abordagens
kämpften lutaram
befindet encontra
verbandsgemeinde alagoas
diesen esses
laufende encerrando
midi midi
information informação
church church
fertig pronto
williams williams
wiederhergestellt restaurado
china china
niedergang declínio
siege vitórias
anwesenheit presença
garnison guarnição
love love
gesetz lei
" "
beethoven beethoven
url url
linie linha
ersten primeiros
gewonnen obtido
unterstützte apoiou
lieder canções
eigentlich quem
holding holding
isaac isaac
kingdom kingdom
far far
vize vice
virtuellen virtuais
hauptautor editor
han han
identität identidade
sah viu
besetzen ocupar
heft pág
multi multi
bewertet avaliado
reliquien relíquias
polnisch polaco
steigt sobe
botschaft embaixada
korrektur correção
schallplatten discos
saône saône
abschaffung abolição
selbstmord suicídio
gültige válido
relativ relativamente
seltene rara
xxx xxx
möchte queira
halt pra
verlangte exigiu
möbel mobiliário
wiederholte repetiu
kammer câmara
eugen eugênio
aristoteles aristóteles
gewerkschaften sindicatos
königin rainha
erste primeira
trail trail
della della
temperatur temperatura
persien pérsia
retten salvar
iris iris
anforderungen requisitos
gallery gallery
islands islands
aktualisiert atualizado
region região
beleuchtung iluminação
wertung pontuação
hauptrollen estrelando
budget orçamento
englische inglês
wars wars
schulden dívidas
ämtern cargos
priester sacerdote
ibm ibm
tempo ritmo
gitarren guitarras
center center
beobachtung observação
cornell cornell
projekten projetos
illustrator ilustrador
fluch maldição
bestimmtes determinado
empire empire
touch touch
schlag soco
tv tv
frucht semente
home home
religiöse religiosas
toulouse toulouse
holen pegar
against against
sektor setor
rechtswissenschaftler jurista
vorgestellt apresentado
class class
dokumenten documentos
definition definição
gläubigen fiéis
fox fox
etappe etapa
mountain mountain
tourneen turnês
neuen novos
deshalb pois
future future
körper corpo
spieler jogador
zitiert citado
district district
allmählich gradualmente
nase nariz
steinbruch pedreira
abgetrennt separada
fernseh televisão
perspektive perspectiva
adelheid beatriz
allmusic allmusic
miss miss
situationen situações
dawn dawn
hatten tinham
kids kids
del del
kosten custos
kunde cliente
gemalt pintado
erfunden inventado
öffnet abre
institutionen instituições
ny ny
göttin deusa
wp wp
öffentlich publicamente
schnellgelöscht eliminado
tote mortas
transparenz transparência
nepal nepal
verkaufen vender
mia mia
erkrankung doença
gemeint referia
power power
nicola claudio
nancy nancy
abgabe liberação
beat beat
louisiana louisiana
remix remix
about about
minuten minutos
kong kong
mediawiki mediawiki
bevorzugte preferido
vera vera
tochtergesellschaft subsidiária
persönlich pessoalmente
beispielen exemplos
benutzer usuário
wall wall
party party
zeitraum período
jerry terry
piloten pilotos
davies davies
eis gelo
france france
leere vazia
play play
modell modelo
polizisten policiais
erbte herdou
