americana amerikanische
concluída fertigstellung
advogado rechtsanwalt
western western
liverpool liverpool
ato akt
boris boris
legend legend
justificativas begründungen
conflitos konflikten
episódios episoden
curva kurve
\\ \\
windsor windsor
reforço verstärkung
dólares dollar
varsóvia warschau
literária literarische
sal salz
complexas komplexe
academy academy
cemitério friedhof
abandonar aufgeben
hard hard
finalmente schließlich
david david
abc abc
liberdade freiheit
ala flügel
k k
ele er
quebrado gebrochen
colônias kolonien
busca suche
temas themen
transmissão übertragung
fame fame
youtube youtube
sobreviventes überlebenden
concluído fertiggestellt
assume übernimmt
know know
definitivamente endgültig
alcança erreicht
formalmente formell
marechal marschall
se sich
bridge bridge
escritos geschriebenen
fica fällt
suas ihre
nfl nfl
che che
aplicado angewandt
comercial kommerzielle
weimar weimar
apelido spitznamen
foto foto
black black
rhythm rhythm
tradição tradition
tom dick
velhos älteren
exerceu übte
validade gültigkeit
dell dell
obama obama
falava sprach
gran gran
antigo alte
papal papstes
liturgia liturgie
commonwealth commonwealth
trouxeram brachten
cálculo berechnung
australiana australische
rota route
o das
adultos erwachsenen
católico katholischer
ocorrendo vor
francesco domenico
cenas szenen
roosevelt roosevelt
ghz ghz
prático praktische
cereais getreide
constantinopla konstantinopel
palermo palermo
universo universum
facção gruppierung
rangers rangers
angeles angeles
viagem reise
desenhista zeichner
made made
phillips phillips
fiat fiat
entender verstehen
sucedidos erfolgreichen
poesias gedichte
hamilton hamilton
great great
necessário notwendig
leitores lesern
testemunha zeuge
europa europa
plantas pflanzen
populares beliebte
caribe karibik
personalidade persönlichkeit
método methode
herzegovina herzegowina
privados privaten
preciso muß
ideal ideal
season season
freedom freedom
declarações äußerungen
hong hongkong
mesquita moschee
explicar erklären
railway railway
desenhado entworfen
xi xi
software software
girls girls
duelo duell
matemáticas mathematische
estátuas statuen
frota flotte
education education
jazz jazz
espaço raum
unidas vereinten
luc luc
senão solange
country country
empate remis
permanecer bleiben
nascida geborene
jornal tageszeitung
invenção erfindung
performance performance
caráter charakter
vermelho rote
catholic catholic
busto büste
medalhista olympiasieger
media media
impediu verhinderte
títulos titeln
military military
completos regulären
acima oben
velocidades geschwindigkeiten
grupos gruppen
assentos sitze
equipes teams
designação bezeichnung
audio audio
adicional zusätzliche
tendência tendenz
quebrar brechen
again again
carne fleisch
talvez wohl
calcular berechnen
luta kampf
alterações veränderungen
verdade wahrheit
cincinnati cincinnati
representantes vertretern
ameaça bedrohung
urss sowjetunion
inicialmente anfänglich
pertencentes gehörenden
excluindo entfallen
nada nichts
ron ron
ofensa beleidigung
kg kg
oposição opposition
capitalismo kapitalismus
completamente vollkommen
quantas wieviele
voltando wieder
dylan dylan
pintar malen
substituir ersetzen
cor farbe
achei finde
cristã christliche
françois françois
religiosos religiösen
escavações grabungen
antepassados vorfahren
artificial künstliche
ator schauspieler
espanha spanien
anos jahren
industrial industrielle
subiu stieg
vitamina vitamin
mass mass
duas zwei
partilha gemeinsame
otomano osmanische
football football
kay kay
arms arms
variações variationen
bela schöne
moore moore
organismo organismus
mausoléu mausoleum
file file
vendo genug
aceitável akzeptabel
tell tell
casas häuser
status status
india india
new new
normal normal
grand grand
store store
liberal liberal
soyuz sojus
murray murray
pat pat
visitantes besuchern
percy percy
simples einfache
empresário unternehmer
beber trinken
rapidamente rasch
minnesota minnesota
sobre über
phoenix phoenix
permitia erlaubte
activo aktiver
classe klasse
society society
asiáticos asiatischen
escritório büro
pessoal persönliche
southern southern
ii ii
roubado gestohlen
tornando zugleich
convenções konventionen
singular singular
oferecem bieten
level level
condenação verurteilung
andrea andrea
conhecidos bekannten
continha enthielt
academia akademie
definiu fasste
proporcionar ermöglichen
saúde gesundheit
id id
recorde rekord
extremo äußersten
plataformas plattformen
saudações grüßen
latim lateinische
bristol bristol
corrente strömung
urban urban
sucedida erfolgreiche
geoffrey geoffrey
província provinz
denver denver
gás gas
government government
permanentemente dauerhaft
rebecca rebecca
ainda noch
integração integration
variável variable
pescoço hals
rua hauptstraße
definições definitionen
concessão konzession
senado senat
view view
cargo posten
living living
espanhóis spanier
perna bein
coisas dinge
plano plan
cirurgião chirurg
imperial kaiserliche
áfrica afrika
modern modern
moral moral
crescem wachsen
hipótese hypothese
mostram zeigen
filho sohn
apeadeiro empfangsgebäude
regiões regionen
repetir wiederholen
cf ff
prefeito bürgermeister
doentes kranken
treinador trainer
apaixona verliebt
dinastia dynastie
responsáveis verantwortlichen
fracos schwachen
pyrénées pyrénées
marcando markierte
mostraram zeigten
theory theory
boys boys
risco risiko
governado regiert
dependência abhängigkeit
agente agent
dedicar widmen
newton newton
biografia biografie
acordo laut
px px
localizam befinden
relacionados befassen
equações gleichungen
monitor monitor
balada ballade
comunicação kommunikation
trabalhador arbeitnehmer
viveu lebte
ajuda hilfe
formado gebildet
livremente frei
zero null
protestos protesten
reconhecimento anerkennung
bruxelas brüssel
derby derby
incluem zählen
possuía besaß
recusou weigerte
ma ma
poucas wenige
abadia abtei
atari atari
trevor alan
lembrando gerade
obteve erlangte
camisa trikot
rotas routen
povoado siedlung
iniciativa initiative
suspeita verdacht
estrela stern
infobox infobox
catedral kathedrale
mangá manga
kriegsmarine kriegsmarine
duplas doppel
shell shell
locomotiva lokomotive
doutor doktor
dados daten
milênio jahrtausend
atlanta atlanta
institute institute
pequenas kleinere
individual einzel
roménia rumänien
redes netze
miami miami
satélites satelliten
ocorreu stattfand
lucros gewinne
alemã deutsche
raça rasse
canção lied
alfabeto alphabet
another another
destruição zerstörung
geral allgemeinen
até bis
fechados geschlossenen
cresceu wuchs
máscara maske
comemoração jubiläum
donald donald
biblioteca bibliothek
history history
latin latin
vivo live
studio studio
experiência erfahrung
factor factor
aeronaves flugzeuge
jurídicos juristischen
declarou erklärte
italiana italienischen
comediante komiker
aparecendo erscheinung
participantes teilnehmenden
gloria gloria
middle middle
tomar einnehmen
works works
marido ehemann
bulgária bulgarien
atores schauspielern
antártida antarktis
morávia mähren
armamento bewaffnung
lugar platz
l l
visitar besuchen
adicionada hinzugefügt
television television
estilo stil
massachusetts massachusetts
ralph ralph
origem ursprung
língua sprache
dragon dragon
gun gun
personalidades persönlichkeiten
trouxe brachte
estações stationen
roupas kleidung
online online
like like
couro leder
race race
revolução revolution
comunista kommunistischen
jamie jamie
aparentemente offenbar
bar bar
lloyd lloyd
lá wohin
um ein
íons ionen
personagem hauptfigur
killer killer
faculdades fakultäten
seu sein
cristianismo christentum
sofrido erlitten
trabalhou arbeitete
girl girl
apoio unterstützung
limites grenzen
protegido geschützt
estônia lettland
vídeo video
clinton clinton
origens ursprünge
chão boden
chapter volume
danos schäden
expectativas erwartungen
playoffs playoffs
proteção schutz
irlandês irischer
queensland queensland
con con
movimentos bewegungen
determinar ermitteln
buscando bemüht
biography biography
ficheiro datei
cujas deren
escada treppe
nápoles neapel
pátio innenhof
variação variation
universidades universitäten
euros euro
nono siebte
álcool alkohol
aparecer auftauchen
espectadores zuschauer
diane nicole
rouge rouge
science science
viver leben
rendição kapitulation
geometria geometrie
restantes restlichen
indivíduos individuen
minoria minderheit
imagem bild
into through
greene greene
córdoba córdoba
books books
ampliado erweitert
stewart stewart
separados getrennten
sicília sizilien
monarquia monarchie
sucessivamente nacheinander
diária tägliche
possibilita ermöglicht
fusão fusion
recomenda empfiehlt
substituiu ersetzte
tipicamente typischerweise
pablo pablo
discovery discovery
marie marie
menos weniger
the the
look look
grécia griechenland
pioneiro pionier
desastre katastrophe
pública öffentlicher
pmdb spd
irmãs schwestern
decorrer laufe
maior größte
eslováquia slowakei
campanha kampagne
introduzidos eingeführten
dictionary dictionary
amor liebe
desculpe sorry
pé fuß
com mit
apple apple
cama bett
potencial potential
paris paris
take take
florença florenz
neto vetter
várias mehrere
céu himmel
introduzido eingeführt
templo tempel
projeto projekt
governante herrscher
famosos berühmten
walt walt
adquiriu erwarb
doenças krankheiten
escreveram schrieben
formato format
hollywood hollywood
assumindo wahr
prepara bereitet
dvd dvd
proibido verboten
norueguesa norwegischen
so do
sustentável nachhaltige
passado vergangenheit
namorada freundin
guitar guitar
edit sysop
jornalistas journalisten
olivier olivier
led led
banco bank
marca marke
men men
longo längere
chris rick
jacob jacob
desambiguação begriffsklärung
ana katharina
contêm enthalten
disponíveis verfügbaren
encenação inszenierung
utilizam eignen
copenhague kopenhagen
inovação innovation
petersburgo petersburg
emma emma
permitiu ermöglichte
restrição einschränkung
propriedade eigentum
prefiro sowieso
fisher fisher
descoberto entdeckt
atividade aktivität
beleza schönheit
ice ice
tecido gewebe
raro selten
camp camp
inglaterra england
bay bay
afirmação behauptung
organismos organismen
positiva positive
profile profile
seguintes folgenden
estruturas strukturen
casos fällen
parlamentar parlamentarische
peixes fischen
nomeadamente weiterer
queen queen
exclusivamente ausschließlich
semana woche
bloqueio sperre
irish irish
oferecido angeboten
poderia hätte
lyon lyon
exposição ausstellung
avaliação beurteilung
qual wiederum
confusão verwirrung
ferrari ferrari
revisão revision
africa africa
submetido unterzogen
finlândia finnland
participaram teilnahmen
otto otto
lady lady
m/s m/s
contratou verpflichtete
católicos katholiken
triunfo triumph
voltada schwerpunkt
levemente leicht
óscar oscar
marino marino
massa masse
peru peru
serpente schlange
ouve hört
regular reguläre
organizou organisierte
vandalismo vandalismus
noroeste norden
cronologia chronologie
dj dj
layout layout
jonas jonas
elogiado gelobt
poema gedicht
juntamente gemeinsam
doação schenkung
da der
considerar betrachten
double double
prix prix
confirmação bestätigung
facilitar erleichtern
reis könige
mesorregião regierungsbezirk
four four
estômago magen
budismo buddhismus
gerações generationen
sing sing
left left
incomum ungewöhnliche
toda gesamten
base basis
rgb rgb
ken ken
queriam wollten
inventor erfinder
mundos welten
implementação implementierung
pequenos kleinen
refere bezieht
curto kürzere
destas einzelner
volumes bänden
sistema system
participar teilnehmen
mac mac
teóricos theoretischen
constam aufgeführten
contra gegen
polonesa polnischen
i i
sucessora nachfolgerin
filiação mitgliedschaft
unix unix
acidente unfall
vide vgl
alternativa alternative
dead dead
disciplina disziplin
colônia kolonie
cavalaria kavallerie
portos häfen
jerusalém jerusalem
charles charles
ministério ministerium
filial niederlassung
programas programmen
desempenhar übernehmen
jeff tim
corpus corpus
festival festival
defendido verteidigt
apresenta aufweist
connecticut connecticut
consideradas gelten
kill kill
temple temple
moeda währung
map map
politicamente politisch
desemprego arbeitslosigkeit
wc wc
office office
english english
evitar vermeiden
entregou übergab
rugby rugby
carvão kohle
aids aids
racismo rassismus
é ist
saboia savoyen
fabricação herstellung
ducado herzogtum
turquia türkei
orchestra orchestra
espera erwartet
sessão sitzung
public public
baixista bassist
massacre massaker
específicos spezifischen
física physik
material material
numerosas zahlreiche
concordo vorredner
cap cap
op op
entendi verstehe
sur sur
errado falsch
radicais radikalen
pinturas gemälden
concreto beton
liechtenstein liechtenstein
assinatura unterschrift
fe fe
esconder verstecken
centros zentren
mercury mercury
ips ips
aumentar erhöhen
voluntários freiwilligen
estabilidade stabilität
navegação navigation
chad marc
voice voice
prêmio preis
combinação kombination
lendas legenden
lhe ihr
solicitar beantragen
germany germany
css css
belga belgische
contato kontakt
ibn ibn
apollo apollo
woods woods
igrejas kirchen
regularmente regelmäßig
god god
perdas verluste
exercícios übungen
todos sämtlichen
ro ro
atlantic atlantic
independentemente unabhängig
east east
aumentando erhöhte
jogadores spielern
league league
outubro februar
momento moment
flandres flandern
especialmente insbesondere
rebelião rebellion
underground underground
tentaram versuchten
compôs komponierte
princeton princeton
suite suite
continue permanent
encontrados gefundenen
mecanismo mechanismus
permanecendo verblieb
algoritmo algorithmus
líbano libanon
joint joint
alfred alfred
científico wissenschaftliche
core core
at at
pacific pacific
satisfeito zufrieden
mail mail
coro chor
metade hälfte
san san
stanford stanford
músicos musikern
parecem scheinen
ronald ronald
elemento element
três drei
economia wirtschaft
casar heiraten
intensidade intensität
gado vieh
star star
vinho wein
colaborou betätigte
banqueiro bankier
stalin stalin
re re
aparência aussehen
torre turm
escândalo skandal
cerveja bier
phantom phantom
faleceu verstarb
disputado ausgetragen
community community
brasão wappen
bando räuber
guild guild
voltadas schwerpunkte
sistemas systemen
africana afrikanische
transilvânia siebenbürgen
california california
versão version
sinônimo begriffes
opus opus
oslo oslo
d d
delegação delegation
compositores komponisten
william william
concentrar konzentrieren
nosso unser
rap rap
virtual virtuelle
britânica britischen
revolucionário revolutionär
ben ben
historiador historiker
camille camille
fl fl
participado teilgenommen
populações populationen
real königlichen
speed speed
neste diesem
promoções events
hidrogênio wasserstoff
bilhões milliarden
point point
tratava handelte
vai fängt
rights rights
player player
melhorado überarbeitet
fugir fliehen
você wem
participou teilnahm
pi pi
islâmica islamischen
remover entfernen
entrada eingang
british british
cruz kreuz
rural ländliche
professor professor
própria eigenen
caroline caroline
ep ep
aba unterseite
importante wichtige
six six
adventures adventures
johnson johnson
cai stürzt
famosa bekannteste
visuais visuelle
endereços adressen
missões missionen
os den
award award
ensina lehrt
discografia diskografie
medievais mittelalterlichen
ed aufl
tiger tiger
milano milano
categoria kategorie
mede misst
beatles beatles
príncipe prinz
álbum album
eleitos gewählten
módulo modul
obs eingetragen
ano jahr
db sp
chuva regen
feat feat
croácia kroatien
furacão hurrikan
cuidados betreuung
murder murder
space space
confundido verwechselt
palm palm
palestina palästina
respectivo jeweilige
popularmente volksmund
aspecto erscheinungsbild
incorpora vereint
elevado hohes
pais eltern
monstro monster
publicou publizierte
divórcio scheidung
aviv aviv
santuário schrein
abordagens ansätze
lutaram kämpften
encontra befindet
alagoas verbandsgemeinde
esses diesen
encerrando laufende
midi midi
informação information
church church
pronto fertig
williams williams
restaurado wiederhergestellt
china china
declínio niedergang
vitórias siege
presença anwesenheit
guarnição garnison
love love
lei gesetz
" "
beethoven beethoven
url url
linha linie
primeiros ersten
obtido gewonnen
apoiou unterstützte
canções lieder
quem eigentlich
holding holding
isaac isaac
kingdom kingdom
far far
vice vize
virtuais virtuellen
editor hauptautor
han han
identidade identität
viu sah
ocupar besetzen
pág heft
multi multi
avaliado bewertet
relíquias reliquien
polaco polnisch
sobe steigt
embaixada botschaft
correção korrektur
discos schallplatten
saône saône
abolição abschaffung
suicídio selbstmord
válido gültige
relativamente relativ
rara seltene
xxx xxx
queira möchte
pra halt
exigiu verlangte
mobiliário möbel
repetiu wiederholte
câmara kammer
eugênio eugen
aristóteles aristoteles
sindicatos gewerkschaften
rainha königin
primeira erste
trail trail
della della
temperatura temperatur
pérsia persien
salvar retten
iris iris
requisitos anforderungen
gallery gallery
islands islands
atualizado aktualisiert
região region
iluminação beleuchtung
pontuação wertung
estrelando hauptrollen
orçamento budget
inglês englische
wars wars
dívidas schulden
cargos ämtern
sacerdote priester
ibm ibm
ritmo tempo
guitarras gitarren
center center
observação beobachtung
cornell cornell
projetos projekten
ilustrador illustrator
maldição fluch
determinado bestimmtes
empire empire
touch touch
soco schlag
tv tv
semente frucht
home home
religiosas religiöse
toulouse toulouse
pegar holen
against against
setor sektor
jurista rechtswissenschaftler
apresentado vorgestellt
class class
documentos dokumenten
definição definition
fiéis gläubigen
fox fox
etapa etappe
mountain mountain
turnês tourneen
novos neuen
pois deshalb
future future
corpo körper
jogador spieler
citado zitiert
district district
gradualmente allmählich
nariz nase
pedreira steinbruch
separada abgetrennt
televisão fernseh
perspectiva perspektive
beatriz adelheid
allmusic allmusic
miss miss
situações situationen
dawn dawn
tinham hatten
kids kids
del del
custos kosten
cliente kunde
pintado gemalt
inventado erfunden
abre öffnet
instituições institutionen
ny ny
deusa göttin
wp wp
publicamente öffentlich
eliminado schnellgelöscht
mortas tote
transparência transparenz
nepal nepal
vender verkaufen
mia mia
doença erkrankung
referia gemeint
power power
claudio nicola
nancy nancy
liberação abgabe
beat beat
louisiana louisiana
remix remix
about about
minutos minuten
kong kong
mediawiki mediawiki
preferido bevorzugte
vera vera
subsidiária tochtergesellschaft
pessoalmente persönlich
exemplos beispielen
usuário benutzer
wall wall
party party
período zeitraum
terry jerry
pilotos piloten
davies davies
gelo eis
france france
vazia leere
play play
modelo modell
policiais polizisten
herdou erbte
