recurrente recorrente
corporation corporation
hidrográfica hidrográfica
formados formados
hermandad irmandade
linterna lanterna
meditación meditação
ocupaciones ocupações
importante importante
heavyweight heavyweight
fácil fácil
literal literal
visitas visitas
residuos resíduos
casa casa
coordenadas coordenadas
dominada dominada
costos custos
sinónimo sinônimo
entrenadores treinadores
natal natal
boletín boletim
acreditado creditado
ríos rios
nacionalista nacionalista
marcado marcado
huracán furacão
aislado isolado
and and
juramento juramento
prohibido proibido
dominios domínios
organizados organizados
debió precisou
story story
incluida incluída
suena soa
véase veja
oklahoma oklahoma
considero considero
quiebra falência
frecuentemente frequentemente
volante volante
bureau committee
canchas quadras
cat cat
way way
lealtad lealdade
enfermedad doença
kings kings
monarquía monarquia
administrativos administrativos
indicadores indicadores
solidaridad solidariedade
presentan apresentam
peregrinos peregrinos
wc wc
decide decide
liverpool liverpool
sonic sonic
psicológico psicológico
comisario comissário
conductor condutor
quiero quero
cónsul cônsul
nigeria nigéria
valor valor
anónimos anônimos
audiencias audiências
du du
plásticas plásticas
quizá talvez
pretende pretende
individuales individuais
deudas dívidas
consentimiento consentimento
political political
moderna moderna
principios princípios
árabe árabe
literarios literários
aviv aviv
elena elena
australia austrália
premio prêmio
preguntó perguntou
artístico artístico
fusión fusão
abiertas abertas
recibiendo recebendo
sección seção
girl girl
manga mangá
ii ii
representante representante
ve vê
procesamiento processamento
estudio estudo
vidas vidas
configuración configuração
ign ign
wellington wellington
eran eram
independientes independentes
profesión profissão
guayana guiana
irish irish
nació nasceu
rick rick
goethe goethe
guerra guerra
web site
anexión anexação
definidos definidos
considerado considerado
preston preston
así assim
gestión gestão
michelle michelle
arnold arnold
cerebro cérebro
generan geram
otoño outono
dong dong
eléctrico elétrico
pidiendo pedindo
obrera operária
publicados publicados
dans dans
rom rom
dadas dadas
pole pole
aeronaves aeronaves
acompaña acompanha
encontrados encontrados
marineros marinheiros
aldeas vilas
vestuario figurino
fresco fresco
culpa culpa
éxitos sucessos
just just
north north
religioso religioso
expuesto exposto
mágicos mágicos
accesos acessos
enseñanza ensino
críticas críticas
tenido tido
sailor sailor
avances avanços
when when
ladera encosta
trujillo alagoas
concepto conceito
wake wake
promedio média
luchadores lutadores
garantiza garante
fija fixa
lectores leitores
expedición expedição
bibliotecarios administradores
rápidos rápidos
criaturas criaturas
association association
víctor carlos
bremen bremen
activos ativos
fuegos fogos
fin fim
abundancia abundância
manipulación manipulação
india índia
hits hits
poseían possuíam
extraordinario extraordinário
chemical chemical
consagrado consagrado
reunir reunir
– –
módulos módulos
extranjeras estrangeiras
filósofos filósofos
file file
viva viva
paolo paolo
esclavo escravo
rapero rapper
declarada declarada
gustavo gustavo
laura laura
ponerse ficar
center center
con com
eliminando eliminando
copias cópias
pat pat
escoger escolher
dedicados dedicados
sandra sandra
freud freud
provocado provocado
estacionamiento estacionamento
inauguró inaugurou
bonn bonn
truth truth
randy randy
reunieron reuniram
asambleas assembleias
hombre homem
navales navais
código_postal_nombre data_pib
racismo racismo
delegados delegados
samantha samantha
homicidio homicídio
prime prime
hogar lar
pilotos pilotos
milagro milagre
princesa princesa
cuidados cuidados
better better
reales reais
cosecha colheita
angular angular
editores editores
muestras amostras
creó criou
pontificia pontifícia
aérea aérea
pares pares
generado gerado
escolares escolares
asociación associação
traducir traduzir
master master
indicar indicar
autores autores
acusado acusado
épocas épocas
oficial oficial
windsor windsor
módulo módulo
niño menino
avance avanço
ruedas rodas
damasco damasco
permanecieron permaneceram
operativo operacional
sucesivamente sucessivamente
aprobó aprovou
matando matando
aéreos aéreos
increíble incrível
eugene eugene
consigo consigo
claras claras
sumando somando
publications publications
capas camadas
electores eleitores
zeus zeus
cole cole
exclusivamente exclusivamente
stuart stuart
comercio comércio
marciales marciais
ángulos ângulos
psicología psicologia
airways airways
cerradas fechadas
nothing nothing
vacante vago
mercancías mercadorias
constante constante
gracias graças
impide impede
cementerio cemitério
corrección correção
etiqueta rótulo
nativo nativo
sería seria
total total
permitieron permitiram
capaz capaz
be be
divinidad divindade
edificación edificação
investigar investigar
recomendaciones recomendações
debemos devemos
said said
intervalo intervalo
journal journal
millón milhão
alternativa alternativa
in in
heinz heinz
manuscritos manuscritos
alcanzó alcançou
benny benny
alaska alasca
defectos defeitos
aproximadamente aproximadamente
jersey jersey
paseos passeios
condenados condenados
turístico turístico
ecuación equação
nora nora
allmusic allmusic
curso curso
sonoras sonoras
pasados passados
sigo continuo
ámbito âmbito
socorro socorro
jam jam
quiroga machado
causada causada
desapareció desapareceu
volvieron voltaram
won won
divide divide
montenegro montenegro
misiles mísseis
integridad integridade
emitido exibido
state state
championship championship
ph ph
nave nave
bailarines dançarinos
desarrolladas desenvolvidas
asegurar garantir
ensayo ensaio
ametralladoras metralhadoras
habrá haverá
desastre desastre
políticamente politicamente
combinaciones combinações
nd nd
esposa esposa
asiáticos asiáticos
penalti pênalti
is is
enzimas enzimas
generalizada generalizada
lázaro lázaro
college college
cenizas cinzas
volvería voltaria
firmada assinada
diversión diversão
fenómenos fenômenos
británica britânica
version version
ruta rota
editar editar
db db
raf raf
china china
cama cama
inspirado inspirado
hueso osso
enlaces ligações
medallas medalhas
asistió frequentou
esther miriam
toneladas toneladas
children children
primeras primeiras
descendiente descendente
hospital hospital
tomás tomás
sabemos sabemos
hadas fadas
fases fases
servía servia
automáticamente automaticamente
ritual ritual
guido guido
anualmente anualmente
octava oitava
internet internet
encarnación encarnação
cyrus cyrus
usuarios usuários
secciones seções
pieza peça
montar montar
desarrollada desenvolvida
reducido reduzido
caro caro
barcelona madrid
orchestra orchestra
patria pátria
manto manto
retiró retirou
generation generation
haga faça
defensa defesa
cajas caixas
productions productions
misioneros missionários
limón limão
low low
correcto correto
fly fly
misil míssil
trenes trens
tecnológico tecnológico
estocolmo estocolmo
flight flight
lourdes lourdes
year year
douglas douglas
shane shane
pantanos pântanos
porte porte
intentó tentou
capítulos capítulos
lake lake
celulares celulares
independiente independente
podio pódio
madre mãe
puedan possam
emma emma
procedentes provenientes
dorado dourado
bohemia boêmia
cantantes cantores
calma calma
latín latim
tabaco tabaco
shelley shelley
embarazo gravidez
basándose baseando
pacto pacto
desempeñaba atuava
ventana janela
básica básica
feminista feminista
perihelio periélio
monarca monarca
solicito solicito
utilizada utilizada
moon moon
desaparece desaparece
serán serão
electronic electronic
escapa escapa
pretendía pretendia
consejeros conselheiros
drop drop
servicio serviço
españa portugal
pago pagamento
pierce pierce
proporcionar fornecer
estación estação
suministro fornecimento
vivieron viveram
profundas profundas
short short
ricas ricas
teatral teatral
text text
uniformes uniformes
marítimo marítimo
lineales lineares
consumidores consumidores
taller oficina
orange orange
construyendo construindo
tiburón tubarão
construir construir
poesía poesia
inmensa imensa
adoptó adotou
ranking ranking
cincinnati cincinnati
premiado premiado
grabando gravando
paquete pacote
inside inside
suma soma
weekly weekly
bebé bebê
africa africa
boiss plantbase
nuclear nuclear
portuaria portuária
notables notáveis
aborto aborto
unía ligava
wu wu
decidieron decidiram
luchador lutador
nieves marta
abuso abuso
finaliza termina
cursiva itálico
agresión agressão
bandas bandas
brazo braço
níger níger
escritores escritores
death death
afluente afluente
boeing boeing
compañero companheiro
break break
iniciales iniciais
japanese japanese
carácter caráter
alcaldes prefeitos
promover promover
controlado controlado
considerable considerável
sean sejam
escritora escritora
pidieron pediram
repetición repetição
atlanta atlanta
hospitales hospitais
pintor pintor
notable notável
claramente claramente
centro centro
llamarse chamar
macho macho
les lhes
case case
cataluña catalunha
pocas poucas
medical medical
estimación estimativa
razones razões
phantom phantom
extensión extensão
banco banco
dividió dividiu
journey journey
postal postal
inicialmente inicialmente
monjes monges
trabajar trabalhar
abreviado abreviado
participante participante
liberales liberais
coronel coronel
justa justa
rugby rugby
betty betty
receptores receptores
félix félix
típicamente tipicamente
liderazgo liderança
marxista marxista
p p
presta presta
extensiones extensões
nixon nixon
habitualmente habitualmente
cazadores caçadores
antecedentes antecedentes
espiritual espiritual
conde conde
segmento segmento
filmado filmado
australiano australiano
pantalón calção
canciller chanceler
ain ain
abriendo abrindo
transforma transforma
studies studies
funcionarios funcionários
pintado pintado
hubo houve
code code
parcial parcial
gerardo sílvio
esto isto
maximiliano maximiliano
pi pi
borde borda
mesas mesas
centímetros centímetros
alcanzar alcançar
mp mp
pobladores moradores
gimnasio ginásio
promocional promocional
héroe herói
vendedor vendedor
cerdo porco
borgoña borgonha
conjunta conjunta
próximos próximos
correspondencia correspondência
roque amaro
bobby bobby
accesorios acessórios
novato novato
gabriela gabriela
virus vírus
intenciones intenções
constituyente constituinte
phillips phillips
abogado advogado
alexandra alexandra
variante variante
gráfico gráfico
volúmenes volumes
col col
animados animados
( )
barra barra
frases frases
impuesto imposto
bloquear bloquear
consciente consciente
ilustraciones ilustrações
fascista fascista
escalas escalas
repente repente
shanghai shanghai
razonable razoável
database database
instrumentos instrumentos
procedimiento procedimento
severo severo
conjunto conjunto
oh oh
nbc nbc
razón razão
combustibles combustíveis
utah utah
hijo filho
ardenas ardenas
müller müller
construidos construídos
misteriosa misteriosa
causados causados
unido unido
magnus magnus
orgánica orgânica
estimada estimada
desconocidas desconhecidas
sirven servem
culture culture
políticos políticos
capturar capturar
emisora rádio
ce ce
modernismo modernismo
laterales laterais
bravo bravo
ricky ricky
jefes chefes
documentación documentação
ambos ambos
? ?
poblaciones populações
esquina esquina
cuatro quatro
textos textos
definidas definidas
jura jura
eds eds
león leão
these these
duques duques
moderno moderno
benito benito
secundaria secundária
inmediato imediato
cantidades quantidades
wp wp
happy happy
suave suave
rudolf rudolf
yellow yellow
network network
foot foot
roth roth
asientos assentos
now now
pánico pânico
energy energy
francesco francesco
partió partiu
trataba tratava
hawk hawk
formalmente formalmente
amigas amigas
territorio território
especialista especialista
líquido líquido
hollywood hollywood
stop stop
define define
ofrecen oferecem
vecinas vizinhas
cual qual
causando causando
limitada limitada
baño banho
klein klein
impresión impressão
históricas históricas
visible visível
rain rain
monos macacos
amour amour
producido produzido
ocupada ocupada
ello disto
individual individual
definitivamente definitivamente
dignidad dignidade
refugio refúgio
guarnición guarnição
otomano otomano
prefieren preferem
nervioso nervoso
libia líbia
system system
anunció anunciou
jedi jedi
net net
bowl bowl
exitoso sucedido
refugiados refugiados
venecia veneza
sellos selos
contrato contrato
destacaron destacaram
príncipe príncipe
cornell cornell
disminución diminuição
exhibición exibição
dieciocho dezoito
montana montana
tanta tanta
parentesco parentesco
virgen virgem
declive declínio
antropología antropologia
profesional profissional
persa persa
base base
ficticia fictícia
vendida vendida
recurrentes recorrentes
leyenda lenda
terreno terreno
establecido estabelecido
fechado datado
ruinas ruínas
aisladas isoladas
abuelo avô
perteneciente pertencente
tokyo tokyo
ejecutado executado
munición munição
negativa negativa
mares mares
piper piper
docente docente
cuyo cujo
mentor mentor
northern northern
pobre pobre
padre pai
mencionados mencionados
old old
comenta comenta
futura futura
probar testar
andreas andreas
tipo_adm_ subdivisão_tipo
concacaf concacaf
interino interino
nutrición nutrição
comunista comunista
facilidad facilidade
gordon gordon
producto produto
rusia rússia
existiendo existindo
generó gerou
abiertamente abertamente
seleccionado selecionado
soccer soccer
motivación motivação
antigua antiga
gastos despesas
quede fique
war war
marruecos marrocos
métrica métrica
pensaba pensava
consolas consoles
jurídicos jurídicos
conduce conduz
denis denis
adoptado adotado
spencer spencer
protocolo protocolo
notas notas
tigres tigres
admite admite
robles pinheiro
progresivo progressivo
febrero dezembro
ciego cego
obliga obriga
suelen costumam
ilustrador ilustrador
marketing marketing
metros metros
ideología ideologia
julieta julieta
consecuencia consequência
hot hot
pocos poucos
creencias crenças
cristianismo cristianismo
dividen dividem
bautizado batizado
materias matérias
marcar marcar
gráfica gráfica
disputando disputando
between between
human human
acordes acordes
critica critica
blas bartolomeu
adolfo adolfo
suficientemente suficientemente
rap rap
sector setor
sintetizadores sintetizadores
traído trazido
destinadas destinadas
turco turco
confirmación confirmação
plataformas plataformas
participado participado
capa camada
pensamiento pensamento
tipo tipo
muchachos rapazes
aquitania aquitânia
barca barca
camiseta camisa
acusó acusou
débil fraco
condiciones condições
elaborar elaborar
derrota derrota
cien cem
consecutivos consecutivos
ecuaciones equações
acevedo menezes
limitado limitado
evil evil
suborden subordem
viaja viaja
externa externa
donald donald
electoral eleitoral
start start
court court
lionel lionel
seleccionada selecionada
varias várias
críticos críticos
entusiasmo entusiasmo
alemana alemã
variación variação
noroeste noroeste
confederaciones confederações
algunos alguns
firmado assinado
planetas planetas
criticado criticado
piedra pedra
festivales festivais
amanda amanda
fondo fundo
abierta aberta
epic epic
¿dónde latindo
tira tira
requieren requerem
us us
retórica retórica
oficios ofícios
viento vento
pedido pedido
sociales sociais
prominente proeminente
cuando quando
craig craig
gala gala
comunistas comunistas
atacados atacados
enamorada apaixonada
chicas garotas
caliente quente
relacionados relacionados
locomotoras locomotivas
recopilatorio coletânea
trastornos transtornos
bonita bonita
añadiendo adicionando
racional racional
refería referia
procesador processador
terroristas terroristas
demócratas democratas
policial policial
incendio incêndio
pequeñas pequenas
vinilo vinil
cuento conto
típica típica
fuego fogo
azul azul
ring ring
atletismo atletismo
campanas sinos
concentraciones concentrações
under under
estables estáveis
cf cf
atp atp
redujo reduziu
edad idade
bulgaria bulgária
aparición aparição
estable estável
rider rider
modificación modificação
deberes deveres
concurso concurso
embajador embaixador
cruce cruzamento
afirmó afirmou
meridiano meridiano
rin reno
vendidas vendidas
vandalismo vandalismo
consejo conselho
abrir abrir
descenso rebaixamento
fina fina
observaciones observações
presidida presidida
observa observa
identificar identificar
metodología metodologia
alternativas alternativas
renombrado renomeado
vendiendo vendendo
material material
word word
back back
mundo mundo
ligeramente ligeiramente
significaba significava
lluvias chuvas
verbal verbal
brillo brilho
teléfono telefone
full full
aircraft aircraft
caracteres caracteres
marcados marcados
mística mística
visitantes visitantes
otomanos otomanos
interpretaciones interpretações
telenovelas telenovelas
harper harper
dispuestas dispostas
amada amada
aparecieron apareceram
efectuar efetuar
hoja folha
hermann hermann
hulk hulk
formales formais
bebidas bebidas
money money
amarillas amarelas
descomposición decomposição
paper paper
! !
perseguir perseguir
rancho rancho
she she
búsqueda busca
estudiado estudado
pez peixe
wendy wendy
houston houston
categorías categorias
objetos objetos
industrias indústrias
cancelado cancelado
revolucionario revolucionário
parientes parentes
fuese fosse
aquiles aquiles
presentar apresentar
shanghái xangai
ned ned
diarios diários
vigente vigente
volar voar
km² km²
suelo chão
stones stones
}}} }}}
cuerda corda
iquique blumenau
consideraciones considerações
galerías galerias
excelencia excelência
diplomática diplomática
plantaciones plantações
nubes nuvens
patentes patentes
mero mero
lorena lorena
unió juntou
directorio diretório
dulce doce
limitar limitar
reelegido reeleito
genes genes
llevado levado
modificar modificar
álbum álbum
discovery discovery
bailarina dançarina
años anos
propuso propôs
springs springs
nobleza nobreza
mina mina
hero hero
nacionales nacionais
unidad unidade
instancia instância
embarazada grávida
palmer palmer
enviar enviar
quién quem
chip chip
lola lola
home home
ayudado ajudado
dedo dedo
puedo posso
monasterio mosteiro
tocado tocado
mujer mulher
aeropuertos aeroportos
grupos grupos
inútil inútil
motors motors
guerreros guerreiros
localidades localidades
comediante comediante
anteriores anteriores
oculta oculta
sintetizador sintetizador
pudo pôde
encontradas encontradas
wilson wilson
central central
antillas antilhas
semanales semanais
ex ex
césped grama
arabia arábia
correr correr
clasificó classificou
hd hd
orejas orelhas
compañeros companheiros
barón barão
medievales medievais
things things
telecinco tvi
nuestros nossos
desarrollando desenvolvendo
newton newton
genio gênio
bradley bradley
invasiones invasões
a á
recurrir recorrer
contrario contrário
tradicionalmente tradicionalmente
conocer conhecer
adquisición aquisição
utilizar utilizar
documento documento
banderas bandeiras
ciro ciro
recibía recebia
traje traje
comercialmente comercialmente
últimas últimas
horarios horários
praga praga
rebounds rebounds
densa densa
inventario inventário
cambian mudam
curioso curioso
sonido som
middle middle
sídney sydney
clásicos clássicos
incorporada incorporada
emisoras rádios
mantuvieron mantiveram
modern modern
cuna berço
escapar escapar
inestabilidad instabilidade
reproducir reproduzir
crimea crimeia
candidatos candidatos
demostrar demonstrar
sintaxis sintaxe
específicamente especificamente
blade blade
maría maria
oferta oferta
fijación fixação
misisipi mississippi
reconocer reconhecer
absurdo absurdo
luchas lutas
canales canais
ritos ritos
válida válida
resistentes resistentes
comunicación comunicação
altos altos
católicas católicas
violencia violência
comedia comédia
realizar realizar
comunitario comunitário
jefe chefe
emite emite
profesora professora
soviético soviético
conference conference
moderada moderada
suzuki suzuki
kb kb
sanción sanção
vence vence
realizaron realizaram
cannes cannes
revistas revistas
gramática gramática
southern southern
medallista medalhista
batería bateria
actos actos
asuntos assuntos
eurovisión eurovisão
solicitado solicitado
mortales mortais
diana diana
bahamas bahamas
europa europa
proteger proteger
diarias diárias
dama dama
contactos contatos
acuático aquático
compitió competiu
vapor vapor
high high
italiana italiana
hoy hoje
constituido constituído
attack attack
inventor inventor
básico básico
ca ca
queremos queremos
grado grau
ludwig ludwig
posiblemente possivelmente
violento violento
recuperó recuperou
orientación orientação
recibido recebido
jade jade
primordial primordial
periodista jornalista
cañones canhões
posicionamiento posicionamento
maya maya
ojo olho
weber weber
ayer ontem
asociadas associadas
automático automático
destructor cruzador
apostólica apostólica
billy fred
ss ss
western western
espía espião
establecidas estabelecidas
unánime unânime
compromisos compromissos
nombrados nomeados
final final
young young
reposo repouso
modernización modernização
cinta fita
guaraní guarani
iowa iowa
transparencia transparência
aux aux
rob rob
cambridge cambridge
enseñó ensinou
hombres homens
dibujo desenho
investigador pesquisador
tesoros tesouros
esparta esparta
refiriéndose referindo
masacre massacre
fk fk
desaparición desaparecimento
cinco cinco
financiamiento financiamento
alonso diogo
retira retira
italiano italiano
mayor maior
ampliada ampliada
ernesto ernesto
invención invenção
hábitos hábitos
precursor precursor
producida produzida
ray ray
socialismo socialismo
fontana fontana
robo roubo
aceptó aceitou
disponible disponível
precedido precedido
corriendo correndo
arbitraje arbitragem
por por
andy andy
saint saint
tesis tese
rito rito
palm palm
halcón gavião
wwe wwe
soldados soldados
beneficios benefícios
seleccionadas selecionadas
touch touch
other other
explosión explosão
productores produtores
algún algum
presentado apresentado
fantasmas fantasmas
barrios bairros
preparada preparada
cristiano cristão
primario primário
ocupó ocupou
sale sai
estudiante estudante
sabor sabor
esperaba esperava
fan fan
explica explica
precisión precisão
compañía companhia
pertenecer pertencer
tenista tenista
mudó mudou
femeninos femininos
self self
menores menores
bottom bottom
fórmulas fórmulas
sonda sonda
masters masters
propiamente propriamente
demografía demografia
almirante almirante
conoció conheceu
puestos postos
reforma reforma
medicamento medicamento
porque porque
descargas downloads
novelas romances
inaugurado inaugurado
serbio sérvio
tránsito trânsito
demográfico demográfico
vegas vegas
universe universe
defendido defendido
africana africana
hand hand
bachiller bacharel
jaume ramón
laderas encostas
study study
neerlandés neerlandês
venía vinha
registro registro
almacén armazém
domésticos domésticos
corre corre
par par
estableció estabeleceu
étnicos étnicos
órdenes ordens
escolar escolar
principal principal
castillo castelo
debates debates
mayúsculas maiúsculas
constitucional constitucional
t t
ucraniana ucraniana
christopher christopher
convergencia convergência
cobertura cobertura
nivel nível
absoluta absoluta
denominado denominado
continua contínua
honorario honorário
trevor trevor
fijo fixo
milán milão
hongos fungos
único único
voto voto
tal tal
burns burns
optó optou
fine fine
link link
valores valores
crystal crystal
aparecido aparecido
inestable instável
tolerancia tolerância
usted você
reportajes reportagens
situados situados
títulos títulos
tardío tardio
alejandra juliana
opera opera
choque choque
verona verona
programas programas
borja ávila
paramount paramount
ko ko
silencio silêncio
veterano veterano
protagonistas protagonistas
tecnologías tecnologias
ocupa ocupa
convivencia convivência
cabina cabine
caza caça
confirmar confirmar
lloyd lloyd
campañas campanhas
dicen dizem
favorita favorita
ecuador equador
oficio ofício
pozo poço
promovido promovido
áfrica áfrica
anfibios anfíbios
décimo décimo
program program
plata prata
chase chase
hielo gelo
estuvieron estiveram
todd todd
hayan tenham
terrestres terrestres
tango samba
sitúa situa
make make
modernidad modernidade
williams williams
fisiología fisiologia
distingue distingue
anunciaron anunciaram
stefan stefan
+ +
entendimiento entendimento
operación operação
clínicas clínicas
cosme cosme
conversación conversa
star star
madres mães
bosque floresta
episcopal episcopal
jueces juízes
muchacho garoto
bot bot
piscina piscina
acusados acusados
síntomas sintomas
instalación instalação
empató empatou
cruzada cruzada
point point
aprobación aprovação
reducción redução
personalmente pessoalmente
hectáreas hectares
espectral espectral
… …
vaticano vaticano
destacados destacados
limited limited
particularmente particularmente
afelio afélio
pido peço
baseball baseball
cálculos cálculos
hijas filhas
contra contra
dunas dunas
metropolitana metropolitana
estima estima
demasiado demasiado
police police
falló falhou
describió descreveu
" "
general geral
depredadores predadores
estándar padrão
adyacentes adjacentes
helicópteros helicópteros
apóstoles apóstolos
hablan falam
internacionalmente internacionalmente
acercarse aproximar
coloca coloca
escrituras escrituras
brigada brigada
tinta tinta
otras outras
je je
entrenamientos treinos
cisneros dom
mío meu
dice diz
dioses deuses
presidenciales presidenciais
ucraniano ucraniano
inaugural inaugural
escuelas escolas
lírico lírico
querer querer
flor flor
adán adão
françois françois
concedió concedeu
énfasis ênfase
kew kew
estableciendo estabelecendo
cuartel quartel
pelotón pelotão
clon clone
sentía sentia
amiga amiga
luchar lutar
cámaras câmaras
picos picos
coreografía coreografia
ra ra
alpha alpha
centre centre
comparación comparação
vidrio vidro
der der
equivale equivale
noción noção
venganza vingança
bell bell
sebastian sebastian
concesión concessão
arteria artéria
tonos tons
atacar atacar
one one
registrar registrar
lord lorde
iniciaron iniciaram
algoritmo algoritmo
encontrado encontrado
mesopotamia mesopotâmia
versión versão
circo circo
mitología mitologia
fiscales fiscais
domingo domingos
ll ll
demos demos
segundos segundos
hardcore hardcore
cambiar mudar
artificial artificial
moscú moscou
bach bach
llamaban chamavam
fraude fraude
ejecución execução
federaciones federações
inclusión inclusão
radiación radiação
medieval medieval
mama mama
placas placas
modelo modelo
externo externo
salen saem
luigi luigi
infantería infantaria
recientemente recentemente
publicó publicou
cáucaso cáucaso
cohetes foguetes
ferrari ferrari
f f
tiempos tempos
vanguardia vanguarda
ball ball
negras negras
onu onu
detalle detalhe
turística turística
indígena indígena
pozos poços
testigo testemunha
ciencia ciência
recreativo recreativo
proporcionan fornecem
aldea aldeia
till till
est est
coco coco
corea coreia
toque toque
alejandro alexandre
cundinamarca piauí
mar mar
comuna comuna
software software
intenso intenso
wright wright
jubilación aposentadoria
paralelas paralelas
fbi fbi
renunció renunciou
american american
secret secret
llanuras planícies
cristales cristais
sets sets
viajar viajar
descanso descanso
und und
judaísmo judaísmo
ambientales ambientais
work work
dificultad dificuldade
griega grega
comentario comentário
juntas juntas
fallecida falecida
trabajaban trabalhavam
utiliza utiliza
intérprete intérprete
mutación mutação
palestina palestina
conan conan
cornelio cornélio
songs songs
mediación mediação
marco marco
declarado declarado
archipiélago arquipélago
comunicarse comunicar
conocieron conheceram
consideraban consideravam
snake snake
diciendo dizendo
retrato retrato
contribuciones contribuições
esposas esposas
impresa impressa
checa tcheca
difieren diferem
oraciones orações
encontraban encontravam
mhz mhz
protestantes protestantes
tramo troço
préstamos empréstimos
estadísticas estatísticas
conservadora conservadora
ampliado ampliado
iris íris
propietarios proprietários
expresiones expressões
escándalo escândalo
democracia democracia
libres livres
carter carter
exige exige
encuentros encontros
secular secular
creadas criadas
amistad amizade
iniciado iniciado
vi vi
billboard billboard
completos completos
ganar ganhar
integrados integrados
impuestos impostos
consideración consideração
postura postura
rich rich
symphony symphony
sanciones sanções
art art
ki ki
beyond beyond
nota nota
retomar retomar
destruye destrói
quest quest
zelanda zelândia
palabras palavras
presidencial presidencial
facultad faculdade
sustituida substituída
aviones aviões
suizo suíço
olvidar esquecer
bus bus
titulares titulares
actrices atrizes
corazón coração
nada nada
carvajal pimentel
listo pronto
colegio colégio
fighters fighters
dick dick
rayos raios
municipal municipal
islands islands
zoológico zoológico
espaciales espaciais
condena condenação
three three
himno hino
vacaciones férias
knight knight
limpiar limpar
compensación compensação
regimientos regimentos
blog blog
turismo turismo
expresó expressou
otto otto
construido construído
sirviendo servindo
limitados limitados
electorales eleitorais
paralelos paralelos
registra registra
demonios demônios
constituyentes constituintes
brava brava
ofreciendo oferecendo
espacial espacial
aplicó aplicou
aprovechando aproveitando
aguas águas
tracción tração
virtuales virtuais
repite repete
despedido demitido
extremo extremo
wall wall
international international
sirvieron serviram
/ /
energética energética
papas papas
señal sinal
entrevistas entrevistas
incluidas incluídas
humor humor
desfile desfile
montañosa montanhosa
santuario santuário
org org
altar altar
crítico crítico
menos menos
ec ec
fiestas festas
cortes cortes
himnos hinos
mini mini
paredes paredes
chang chang
dibujante desenhista
mínima mínima
jane jane
públicas públicas
compositores compositores
junto junto
secretario secretário
especializada especializada
efectiva efetiva
abierto aberto
principio princípio
mw mw
sentencia sentença
persia pérsia
seno seio
variables variáveis
dialectos dialetos
education education
filosófico filosófico
king king
bombardeo bombardeio
intercambio intercâmbio
echeverría barbosa
wiley pitkin
tag tag
escondido escondido
pen pen
afganistán afeganistão
médicos médicos
adquirió adquiriu
molécula molécula
adulta adulta
winston winston
inc inc
reglas regras
frailes frades
howard howard
aficionado amador
castigo castigo
costumbres costumes
sólida sólida
super super
fame fame
berlín berlim
iso iso
strange strange
inferior inferior
verso verso
manual manual
hechas feitas
concluir concluir
sueño sonho
dispone dispõe
extranjeros estrangeiros
turcos turcos
ausente ausente
comienzo começo
joy joy
reconstrucción reconstrução
alain alain
idioma idioma
delegación delegação
barro barro
incluir incluir
eterna eterna
renombrada renomeada
anterior anterior
próximas próximas
quintero medeiros
hizo fez
ken ken
haciendo fazendo
destacada destacada
contener conter
hojas folhas
poemas poemas
introducción introdução
haven haven
think think
acabó acabou
sostiene sustenta
términos termos
descritos descritos
green green
acompañó acompanhou
solicitó solicitou
barco barco
anna anna
operador operador
delgado delgado
motores motores
equivalente equivalente
aceptable aceitável
carnaval carnaval
aislamiento isolamento
formal formal
plazas praças
naturaleza natureza
párrafo parágrafo
causaron causaram
pirineos pirenéus
cápsula cápsula
menú menu
bang bang
pruebas provas
jamaica jamaica
folclore folclore
dinosaurio dinossauro
químicos químicos
alcanzan atingem
empresas empresas
maestro mestre
logan logan
plazo prazo
books books
región região
conexiones conexões
constructor construtor
considerada considerada
diputada deputada
garras garras
ángulo ângulo
iraní iraniano
depender depender
imponer impor
holland holland
placer prazer
estambul istambul
asesino assassino
fight fight
kyle kyle
fuera fora
convenció convenceu
− −
gratuita gratuita
defiende defende
fall fall
ornamental ornamental
ash ash
detalles detalhes
consideraba considerava
locura loucura
daños danos
permanentes permanentes
run run
linnaeus linnaeus
dientes dentes
guerras guerras
theodor theodor
taxonomía taxonomia
diamond diamond
balada balada
laguna lagoa
teniente tenente
poseer possuir
ma ma
vidal vidal
exclusivo exclusivo
antaño outrora
herencia herança
xxi xxi
asentamientos assentamentos
plural plural
esos desses
poética poética
incendios incêndios
church church
saldo saldo
concede concede
anunciada anunciada
maldición maldição
julian julian
wade wade
migración migração
apoyando apoiando
unir unir
circuito circuito
crean criam
agricultura agricultura
tanto tanto
ocho oito
promesa promessa
invadir invadir
notre notre
hermanos irmãos
campesinos camponeses
roger roger
desarrollaron desenvolveram
portadas capas
enfrentó enfrentou
campeona campeã
misma mesma
lesión lesão
pierre pierre
amberes antuérpia
edit edit
lucia lucia
washington washington
diaria diária
rumbo rumo
alerta alerta
contraste contraste
personal pessoal
eficaz eficaz
aeronave aeronave
bajas baixas
salinas salinas
aprende aprende
décadas décadas
,a ,a
urban urban
locales locais
vida vida
gobernado governado
infancia infância
estatua estátua
espada espada
bloqueo bloqueio
pudiera pudesse
legítimo legítimo
ala ala
localizar localizar
mai mai
vino vinho
caso caso
toman tomam
detuvo parou
pertenecientes pertencentes
huir fugir
grammy grammy
experiencias experiências
