manœuvres manovre
incluse inclusa
automobiles automobili
tournoi torneo
conquête conquista
reprendre riprendere
conduisent portano
sauver salvare
rentré rientrato
atteint raggiunto
maternelle materna
utilisent utilizzano
solution soluzione
présidée presieduta
fossé fossato
austro austro
organisme organismo
dépression depressione
chief chief
faveur favore
étendue estesa
km/h km/h
iron iron
fibre fibra
illinois illinois
considérer considerare
meredith meredith
dormir dormire
jeanne giovanna
zip xls
soleil sole
satellite satellite
prenant prendendo
sérieuse seria
attestée attestata
voyageurs viaggiatori
some some
espérance speranza
bal ballo
tuant uccidendo
marion sandra
objets oggetti
brésilien brasiliano
ouvrit aprì
name name
énormes enormi
sr sr
automatique automatica
arcades arcate
barcelona barcelona
libéré liberato
teatro théâtre
phillips phillips
concile concilio
confie affida
simpson simpson
harry harry
dan dan
pdf pdf
tournois tornei
suède svezia
évitant evitando
retrouva ritrovò
platon platone
damon damon
efficaces efficaci
fins scopi
francisco francisco
duché ducato
pennsylvanie pennsylvania
volcan vulcano
provinces province
templiers templari
environnementale ambientale
navales navali
flux flussi
îles isole
dur duro
présentés presentati
suicide suicidio
vendus venduti
telle tale
détenteur detentore
relié collegato
parallèlement parallelamente
disponibles disponibili
explicitement esplicitamente
birds birds
gaston gastone
/ /
masses masse
perdue perduta
lorsque quando
pôle polo
restera rimarrà
around around
possède possiede
% %
allen allen
spencer spencer
fonction funzione
certifié certificato
zurich zurigo
occupe occupa
bilbao bilbao
hier ieri
johannes johannes
couches strati
constituait costituiva
reproduction riproduzione
gouvernemental governativo
you you
mo mo
chrétiens cristiani
respectivement rispettivamente
administration amministrazione
télescope telescopio
passées passate
walter walter
commodore commodore
fiscale fiscale
wikipédiens wikipediani
remontent risalgono
apôtres apostoli
seconde seconda
gene gene
avocats avvocati
nuit notte
télévisée televisiva
frères fratelli
tales tales
journaliste giornalista
benny benny
goethe goethe
raw raw
mécène mecenate
séparé separato
cubain cubano
exécution esecuzione
exploration esplorazione
localité capoluogo
pouvez puoi
billy billy
boeing boeing
journaux giornali
doc doc
glace ghiaccio
typiquement tipicamente
dieux dèi
expo expo
catcheur wrestler
identifié identificato
dole lodi
proposé proposto
appelle chiama
écriture scrittura
mobilité mobilità
images immagini
rénovation ristrutturazione
judiciaire giudiziario
vert verde
othon ottone
series series
watson watson
joué militato
introduire introdurre
milieux ambienti
absurde assurdo
contraste contrasto
attribuées attribuite
deutsche deutsche
latin latino
abandonné abbandonato
firefox firefox
travaux lavori
josef josef
conservation conservazione
berne berna
élu eletto
résidence residenza
varsovie varsavia
satellites satelliti
considérablement notevolmente
> >
babylone babilonia
respecte rispetta
verticale verticale
commandant comandante
geo geo
domine domina
compositeurs compositori
limités limitati
clavier tastiera
celtique celtica
manager manager
résidant residente
pressions pressioni
chat gatto
bravo bravo
verlag verlag
musiques musiche
ours orso
mas mas
lecture lettura
prestige prestigio
faciliter facilitare
méthode metodo
muhammad muhammad
rites riti
htm htm
structure struttura
épousa sposò
défendu difeso
drop drop
infrastructures infrastrutture
elles esse
partenaire partner
lesquels questi
jour giorno
luttes lotte
convoi convoglio
eau acqua
séparation separazione
limites limiti
segment segmento
parlé parlato
thriller thriller
dialogues dialoghi
circulation circolazione
sœur sorella
geschichte geschichte
donné dato
marguerite margherita
freedom freedom
belgrade belgrado
crâne cranio
israélienne israeliana
olympic olympic
new new
manuscrits manoscritti
compréhension comprensione
plein pieno
ruines rovine
rythmes ritmi
revues riviste
populations popolazioni
· #rinvia
ligue lega
futurs futuri
retrouve ritrova
rica rica
dialogue dialogo
no no
sérieux serio
slovène sloveno
vote voto
courts corti
nécessité necessità
enseigne insegna
accidentellement accidentalmente
inde india
tim tim
offensif offensivo
bout indietro
inédit inedito
obstacles ostacoli
synagogue sinagoga
temples templi
portant recante
father father
seul unico
ride ride
ville città
nerveux nervoso
jésuites gesuiti
regiment regiment
reconnus riconosciuti
sanctuaire santuario
scolaires scolastici
spike spike
estimée stimata
concepts concetti
noel noel
collègues colleghi
caserne caserma
entré entrato
parle parla
@ @
canne canna
suspension sospensione
jardin giardino
station stazione
aborde affronta
achèvement completamento
torah torah
adler adler
medal medal
serre serra
say say
argile argilla
cléopâtre cleopatra
guerre guerra
zagreb zagabria
danger pericolo
true true
successeurs successori
invasion invasione
joan joan
leopold leopold
année anno
α α
biographiques biografici
tomber cadere
clients clienti
connue conosciuta
their their
réalisatrice sceneggiatrice
urbain urbano
plata plata
voulait voleva
profond profondo
acquérir acquisire
newport newport
étoiles stelle
arabie arabia
nuits notti
metteur teatrale
étudier studiare
vocale vocale
modules moduli
hampshire hampshire
leicester leicester
culturelles culturali
cbs cbs
israel israel
encyclopédie enciclopedia
fischer fischer
situées situate
égal uguale
board board
année_pop giornomesenascita
occupation occupazione
voyait vedeva
hélicoptère elicottero
syndicaliste sindacalista
architecte architetto
israélien israeliano
respectifs rispettivi
accepté accettato
roll roll
hank hank
gouverneurs governatori
floyd floyd
squelette scheletro
diffusées trasmesse
córdoba córdoba
persécutions persecuzioni
richesse ricchezza
gestionnaire gestore
nouveaux nuovi
montaigne leopardi
proclamé proclamato
nations nazioni
signaler segnalare
intéressés interessati
livret libretto
charme fascino
archevêque arcivescovo
portaient portavano
dimanche domenica
maintenant ora
monastères monasteri
comptait contava
lara lara
calife califfo
contenant contenente
mari marito
arts arti
navale navale
championship championship
antioche antiochia
gerhard gerhard
recherches ricerche
gardes guardie
pain pane
jedi jedi
oklahoma oklahoma
rouge rossa
signes segni
arm arm
martinez martinez
pluie pioggia
expression espressione
antarctique antartide
armée esercito
monter salire
next next
modifié modificato
armes armi
acceptable accettabile
pensait pensava
branche ramo
vapeur vapore
ange angelo
sépare separa
métropolitain metropolitano
then then
hôpitaux ospedali
kay kay
clan clan
européenne europea
assistant assistente
danemark danimarca
compilation compilation
nécessitent richiedono
circuits circuiti
pacific pacific
paradoxe paradosso
rivera rivera
joe cliff
changements cambiamenti
analogue analogo
thomson thomson
estimations stime
blair blair
appeler chiamare
vieille vecchia
britannique britannico
archéologie archeologia
celles quelle
animal animale
tempête tempesta
batailles battaglie
sources fonti
sol suolo
grey grey
novembre novembre
identité identità
également inoltre
cherché cercato
aux ai
pin pino
conseillé consigliato
county county
may may
am am
armement armamento
millions milioni
étymologie etimologia
compatriote connazionale
sauveur arcangelo
dernier ultimo
incorporée incorporata
langue lingua
citoyens cittadini
relatives relative
mentor mentore
naturelles naturali
duc duca
juriste giurista
luminosité luminosità
t t
attesté attestato
stadium stadium
prêter prestare
circulaire circolare
olympiques olimpici
détermination determinazione
brandebourg brandeburgo
ornements ornamenti
stars stars
hongroise ungherese
\in \in
jeudi giovedì
affirmant affermando
too too
conduit portato
vécu vissuto
peur paura
rhénanie renania
neptune nettuno
disc disc
autonome autonoma
beat beat
tests test
tueur killer
auquel esso
facebook facebook
création creazione
pacifique pacifico
arche arca
york york
fortifications fortificazioni
intensité intensità
cibles bersagli
with with
synode sinodo
factions fazioni
récupération recupero
muscles muscoli
auckland auckland
informé informato
construire costruire
court corto
propriétaires proprietari
london london
identifiés identificati
considérable considerevole
causé causato
sensible sensibile
initiatives iniziative
beyond beyond
informe informa
aile ala
baseball baseball
as as
propriété proprietà
rita rita
friedrich friedrich
rurale rurale
freud freud
routier stradale
densité densità
séparés separati
vendue venduta
infection infezione
moderne moderno
fenêtre finestra
datation datazione
commandants comandanti
transport trasporto
break break
tree tree
marteau martello
transformation trasformazione
gratuitement gratuitamente
communion comunione
liquides liquidi
bataillons battaglioni
croient credono
étudia studiò
japan japan
camion camion
colline collina
poids peso
minimum minimo
sorti uscito
touristiques turistiche
julie laura
wta wta
tome tomo
visites visite
teddy teddy
chambres camere
ingénierie ingegneria
liste lista
danois danese
ted ted
traducteur traduttore
roland roland
lyrique lirica
interface interfaccia
exactement esattamente
centaines centinaia
lp lp
tribune tribuna
controversée controversa
mahomet maometto
armés armati
ethnique etnico
obligation obbligo
lane lane
bactéries batteri
poules gironi
coût costo
plus più
divisés divisi
identification identificazione
catégories categorie
mohammed mohammed
abus abuso
revint ritornò
politiquement politicamente
active attiva
chase chase
public pubblico
devoirs doveri
régent reggente
fois volta
concernent riguardano
ki ki
réfugiés rifugiati
prestigieux prestigiosi
républiques repubbliche
restée rimasta
économiste economista
cooper cooper
fletcher fletcher
gestion gestione
germanique germanica
spécialisés specializzati
déterminant determinante
identique identica
jambe gamba
berlin berlino
trouvée trovata
où dove
angelo dominique
édouard edoardo
accompagne accompagna
isolés isolati
protestation protesta
são são
législature legislatura
bassiste bassista
information informazione
bad bad
honoraire onorario
entend sente
journey journey
pyramide piramide
powell powell
cour corte
soir sera
succession successione
échapper sfuggire
compositeur compositore
poker poker
énergétique energetica
juventus juventus
american american
paragraphe paragrafo
cultures culture
espèces specie
kenny jeff
francs franchi
akira akira
ch ch
interrompu interrotto
élémentaire elementare
? ?
qualification qualificazione
dean dean
cuisine cucina
posthume postumo
symptômes sintomi
résidents residenti
upon upon
hard hard
timothy timothy
oswald oswald
reçoivent ricevono
exprime esprime
richardson richardson
another another
conçu progettato
week week
admiration ammirazione
charlie charlie
mayer mayer
véhicule veicolo
offensive offensiva
puisse possa
ébauche abbozzo
surtout soprattutto
créant creando
patience pazienza
dallas dallas
terminé terminato
em em
cox cox
combattre combattere
engagés impegnati
bell bell
laissant lasciando
rocky rocky
yu yu
real real
rodrigo rodrigo
partie parte
uniquement unicamente
détenu detenuto
dancing dancing
hectares ettari
kick kick
baptiste sebastiano
km² km²
puf laterza
pt pt
muet muto
livres libri
natalie natalie
musique musica
divin divino
débuts esordi
accueilli accolto
slovaquie slovacchia
vampire vampiro
naître nascere
inaugural inaugurale
certitude certezza
rechercher ricercare
négative negativa
serie ligue
celtic celtic
tombes tombe
kenya kenya
contenait conteneva
laïcs laici
mikhaïl michail
externes esterni
challenge challenge
précédents precedenti
léger leggero
indiquent indicano
proposés proposti
définit definisce
battre battere
soviétique sovietica
vrais veri
lettres lettere
supérieur superiore
servit servì
traditions tradizioni
renouvellement rinnovo
species species
flèche freccia
queensland queensland
prochaine prossima
servait serviva
animés animati
annonciation annunciazione
norton norton
eine eine
équation equazione
open open
occupait occupava
commentaires commenti
/xls/dep semiasse_maggiore
maigret maigret
pression pressione
présentation presentazione
génie genio
loup lupo
choisis scelti
singles singoli
ventes vendite
rompt rompe
périodique periodico
atp atp
digital digital
couteau coltello
qualifiés qualificati
médailles medaglie
touristes turisti
flora flora
terres terre
vice vice
certaine certa
auront avranno
périodiques periodici
remplacée sostituita
enregistrée registrata
gordon gordon
dernière ultima
clay clay
insigne distintivo
imprimerie tipografia
gibson gibson
trad trad
and and
occupa occupò
pro pro
semaine settimana
verre vetro
située situata
mickey mickey
recueillir raccogliere
revers rovescio
différentes diverse
environnement ambiente
autour attorno
interviews interviste
mena condusse
achevée completata
lundi lunedì
géologie geologia
perfection perfezione
méchant cattivo
calme calma
tunisie tunisia
│ │
gère gestisce
plage spiaggia
juive ebraica
canyon canyon
actrice attrice
twitter twitter
critics critics
réunis riuniti
alice alice
wwe wwe
organisés organizzati
stewart stewart
menés guidati
malédiction maledizione
réforme riforma
henri enrico
peint dipinto
pib pil
avez hai
intégration integrazione
présents presenti
levi levi
px px
grenoble pavia
rançon riscatto
royale reale
ptolémée tolomeo
massive massiccia
short short
bibliothèque biblioteca
gothique gotico
inauguré inaugurato
mers mari
éliminée eliminata
seront verranno
domicile casalinga
fleur fiore
isaac isaac
es es
romains romani
instabilité instabilità
steiner steiner
min min
rives sponde
jan jan
talbot talbot
nigeria nigeria
opérationnel operativo
populaire popolare
électeur elettore
contribution contributo
bailey bailey
immédiate immediata
self self
bernhard bernhard
délégués delegati
auvergne piemonte
courbes curve
neveu nipote
annuler annullare
fournissant fornendo
wagner wagner
el el
spéciale speciale
si se
lanka lanka
exceptions eccezioni
suit segue
travers attraverso
disparu scomparso
prostitution prostituzione
maryland maryland
invité invitato
électrons elettroni
hall hall
vandales vandali
… …
atari atari
dure dura
adolescent adolescente
impliqué coinvolto
protestant protestante
industriel industriale
pp pp
benoît paolo
humidité umidità
parfaitement perfettamente
répondre rispondere
reçue ricevuta
suivante seguente
gouvernementale governativa
tremblement terremoto
centre centro
urban urban
hotel hotel
comic comic
hébreu ebraico
mendoza mendoza
ep ep
www www
orbite orbita
suivre seguire
élue eletta
pensant pensando
fr/ it/
barcelone barcellona
reliée collegata
notaire notaio
démocrates democratici
annonce annuncia
paiement pagamento
annoncée annunciata
territoriales territoriali
faculté facoltà
récurrent ricorrente
personnes persone
incluent includono
esthétique estetica
valeurs valori
signal segnale
one one
servi servito
investissement investimento
trêve tregua
parce perché
parenthèses parentesi
mali mali
influent influente
continuent continuano
bmw bmw
var var
corbeau corvo
appareil apparecchio
inutiles inutili
dream dream
rappelant richiama
jensen jensen
indication indicazione
couverte coperta
peggy peggy
lourde pesante
helena helena
parois pareti
thème tema
inscrivant segnando
serbe serbo
galilée galileo
suffixe suffisso
vient va
diable diavolo
forêt foresta
raconter raccontare
quatre quattro
consacre dedica
julius julius
accompagné accompagnato
séparée separata
mr mr
conservé conservato
passion passione
enseignement insegnamento
demande richiesta
fleuves fiumi
dénommé denominato
publia pubblicò
poils peli
bundesliga bundesliga
départ partenza
couvertures copertine
fit fece
reçues ricevute
halloween halloween
mike nick
signée firmata
batman batman
industries industrie
abord dapprima
ajoutent aggiungono
géologue geologo
sucre zucchero
militaires militari
indice indice
romain romano
joey joey
soutenue sostenuta
cash cash
physicien scienziato
pilier pilastro
see see
interdiction divieto
qualités doti
compromis compromesso
concernant riguardante
language language
away away
concurrents concorrenti
retrouvé ritrovato
hi hi
professionnelle professionistica
clarence clarence
cuba cuba
saison stagione
probable probabile
arrivée arrivo
trésors tesori
propagande propaganda
minorités minoranze
† †
imposé imposto
fk klub
brême brema
bande banda
ka ka
revient torna
procédé procedimento
production produzione
équipe squadra
intervention intervento
brun bruno
soutien sostegno
lima lima
riches ricchi
présentant presentando
✍ msg
étoile stella
td td
signale segnala
autoroutes autostrade
child child
nord nord
amsterdam amsterdam
titulaires titolari
thèmes temi
cas casi
combat combattimento
supériorité superiorità
transformé trasformato
graf graf
district distretto
buffy buffy
arriver arrivare
machine macchina
réaction reazione
missile missile
nadal nadal
prières preghiere
scientifique scientifico
roosevelt roosevelt
bears bears
saut salto
boxeur pugile
esclavage schiavitù
indienne indiana
maxwell maxwell
ivan ivan
reliques reliquie
financier finanziario
semblent sembrano
sullivan sullivan
heureux felici
orientation orientamento
ocean ocean
déplacé spostato
rock rock
accepte accetta
érigé eretto
qualifiées qualificate
liées legate
unie unita
owen owen
session sessione
kerry kerry
lèvres labbra
sun sun
martyre martirio
cara cara
probablement probabilmente
suite seguito
blessés feriti
chirac berlusconi
émigration emigrazione
max max
étant essendo
professionnel professionistico
bouddha buddha
règlement regolamento
assurer assicurare
english english
spirit spirit
préliminaire preliminare
sunday sunday
maxi maxi
fédérations federazioni
refusé rifiutato
duel duello
généraux generali
caraïbes caraibi
docteur dottore
ref ref
copier copiare
partit recò
entreprises aziende
dispositions disposizioni
ait abbia
milles miglia
île isola
eugène giacinto
airport airport
sélectionné selezionato
carl carl
juniors juniores
commande comandi
chargé incaricato
nba nba
voie via
industrie industria
military military
larry larry
personnalités personalità
couvertes coperte
money money
observer osservare
agnès agnese
hp hp
trail trail
pack pack
frapper colpire
met mette
signalé segnalato
souverains sovrani
dictateur dittatore
couloir corridoio
décisive decisiva
diffusé trasmesso
matériaux materiali
romans romanzi
hell hell
déclaré dichiarato
istanbul istanbul
dem dem
japonaises giapponesi
apparition comparsa
m² m²
limite limite
hamilton hamilton
par da
vend vende
variétés varietà
chers cari
décoration decorazione
stage stage
</s> </s>
montrent mostrano
trade trade
élaboré elaborato
darwin darwin
chaise sedia
hypothèse ipotesi
dialecte dialetto
valut valse
bertrand fabrizio
bug bug
biologiste biologo
scottish scottish
dance dance
séquences sequenze
mondiale mondiale
auteure autrice
ruine rovina
linguiste linguista
nat nat
caoutchouc gomma
happy happy
system system
honneurs onori
colonisation colonizzazione
eugene eugene
parking parcheggio
turbo turbo
blindés corazzati
popularité popolarità
dent dente
castille castiglia
changer cambiare
fisher fisher
temporaire temporanea
traiter trattare
high high
dubaï dubai
bassins bacini
campagnes campagne
stand stand
singh singh
sorties uscite
traduite tradotta
attribués attribuiti
escrime scherma
leipzig lipsia
late late
narrateur narratore
simple semplice
temporel temporale
européen europeo
vies vite
roumaine rumena
meilleurs migliori
aurait avrebbe
prononcé pronunciato
navy navy
autres_projets scaleminor
colette gabriella
contre contro
rod rod
know know
visibilité visibilità
établir stabilire
décrit descritto
tribu tribù
convention convenzione
sodium sodio
accusation accusa
définie definita
battista baptiste
arsenal arsenale
reconstruction ricostruzione
américaine americana
leçon lezione
latitude latitudine
surnommé soprannominato
garrison garrison
expressions espressioni
sympathie simpatia
woody woody
stanley stanley
helen helen
époque epoca
participé partecipato
hip hop
benjamin benjamin
travaillait lavorava
réunions riunioni
sir sir
prétexte pretesto
erreurs errori
rituel rituale
lance lancia
hansen hansen
sharon sharon
espionnage spionaggio
monnaie moneta
escadron squadrone
musée museo
figurent figurano
rappeur rapper
like like
jusqu fino
jakob jakob
ferrand arsizio
venue venuta
spécialisées specializzate
confrérie confraternita
lumineux luminoso
liechtenstein liechtenstein
capitaux capitali
tenta tentò
wood wood
investi investito
islande islanda
kirby kirby
intégrante integrante
pédagogique didattico
vivaient vivevano
achat acquisto
fruit frutto
modifications modifiche
oncle zio
pablo pablo
track track
°c °c
évolue milita
agression aggressione
long lungo
frank edgar
deviendra diverrà
choisir scegliere
épaisseur spessore
singe scimmia
célébration celebrazione
classes classi
hart hart
arbres alberi
amitié amicizia
nietzsche nietzsche
toronto toronto
finie finita
bear bear
guinée guinea
intérêts interessi
appelé chiamato
ennemi nemico
abbé abate
ouvrant aprendo
dépôt deposito
more more
circus circus
gravité gravità
privées private
dizaines decine
champs campi
ténèbres tenebre
werner werner
start start
her her
exclusif esclusivo
citées citate
symphonique sinfonica
isolée isolata
olive oliva
régiments reggimenti
special special
vols voli
lois leggi
culture cultura
jam jam
objectifs obiettivi
justify justify
flight flight
envoya inviò
tenues tenute
représentés rappresentati
pattes zampe
sainte santa
intéressante interessante
futures future
écoute ascolto
haine odio
méditerranée mediterraneo
mourut morì
obtint ottenne
sceau sigillo
connaître conoscere
tower tower
armand armando
championnats campionati
gould gould
aériens aerei
wolfgang wolfgang
tentant tentando
indépendance indipendenza
pluriel plurale
liverpool liverpool
moyens mezzi
flammes fiamme
chelsea chelsea
re ri
lait latte
récemment recentemente
chan chan
fox fox
présentent presentano
dir dir
cr cr
finances finanze
association associazione
john john
bagdad baghdad
mères madri
alternatif alternativo
mystères misteri
faucon falco
généralement generalmente
alphabet alfabeto
rapides veloci
inconnu sconosciuto
protéger proteggere
mac mac
frédéric federico
tâche compito
gap gap
manga manga
bombe bomba
cadeau regalo
malaisie malesia
candidat candidato
généalogie genealogia
grille griglia
fréquence frequenza
dc dc
monstre mostro
interactions interazioni
dié udine
piliers pilastri
visibles visibili
boom boom
alias alias
dauphin delfino
violon violino
comportements comportamenti
considérait considerava
agent agente
springs springs
calvin calvin
capitaines capitani
poésie poesia
nelson nelson
versions versioni
véhicules veicoli
dramatique drammatica
compose compone
augmentation aumento
musées musei
têtes teste
code codice
supporter sopportare
consensus consenso
traduits tradotti
los los
nazie nazista
waters waters
beyrouth beirut
lancer lanciare
aide aiuto
citoyenneté cittadinanza
puissants potenti
opérations operazioni
après dopo
confédération confederazione
possession possesso
périphériques periferiche
tenue tenuta
lotus lotus
rêve sogno
columbus columbus
kate kate
anti anti
adulte adulto
directives direttive
censure censura
autrichien austriaco
gus gus
johann johann
distinctions onorificenze
exceptionnellement eccezionalmente
sexe sesso
partagée condivisa
litres litri
légions legioni
chercheur ricercatore
jeunesse gioventù
diète dieta
influencée influenzata
suivis seguiti
rebelles ribelli
poésies poesie
album album
cheval cavallo
précision precisione
habite abita
coup colpo
bruit rumore
arthur arthur
mont monte
leo leo
julien giuliano
victor victor
stephen stephen
normalement normalmente
ferait farebbe
donnait dava
road road
room room
ronde rotonda
passe passa
jaime jaime
firent fecero
\frac \frac
éternelle eterna
californie california
champion campione
décoré decorato
colmar bolzano
duo duo
stefan stefan
parent parente
radar radar
éloigné lontano
visuel visivo
impératrice imperatrice
substance sostanza
pulmonaire polmonare
préférence preferenza
matthew matthew
erik erik
vérifier verificare
organismes organismi
adresses password
psychiatre psichiatra
illustré illustrato
troisième terzo
feux fuochi
technologies tecnologie
rapide rapido
composante componente
athlètes atleti
essentiels essenziali
comtés contee
naturel naturale
chaussures scarpe
survey survey
birmingham birmingham
très molto
land land
ions ioni
victimes vittime
joshua joshua
of of
spécifiquement specificamente
eden eden
apprendre imparare
cause causa
chrétiennes cristiane
particularité particolarità
run run
julia julia
greg chris
prussienne prussiana
martínez martínez
transféré trasferito
crédit credito
précédé preceduto
élevées elevate
boîte scatola
sanitaire sanitaria
amies amiche
bird bird
détruits distrutti
isbn isbn
facture fattura
appartenance appartenenza
adolescence adolescenza
madrid madrid
minorité minoranza
collabore collabora
phoenix phoenix
zu zu
séminaire seminario
éventuelle eventuale
nacional nacional
essayiste saggista
satisfaction soddisfazione
simplement semplicemente
pathologie patologia
prévue prevista
alliés alleati
rameur canottiere
bulle bolla
utilisées utilizzate
virgin virgin
emprisonné imprigionato
autrichienne austriaca
faux falso
pilote pilota
live live
suffrages seggi
banques banche
températures temperature
designer designer
tampa tampa
boire bere
canvas canvas
fournis forniti
stephanie stephanie
atlético atlético
large largo
coopération cooperazione
concours concorso
cf vedi
présidé presieduto
religions religioni
lost lost
freins freni
combinaison combinazione
castle castle
avancées avanzate
échanges scambi
accueil accoglienza
nettement nettamente
compagne compagna
périphérie periferia
cou collo
dirigeant dirigente
abattre abbattere
insectes insetti
régions regioni
flotte flotta
sortis usciti
suppression cancellazione
incertaine incerta
function function
violoniste violinista
marine marina
drapeau bandiera
morrison morrison
architectes architetti
rodríguez rodríguez
neo neo
unit unit
blessure infortunio
mini mini
rocheuses rocciose
mensuel mensile
archéologiques archeologiche
doublage doppiaggio
hunt hunt
peters peters
let let
seulement soltanto
cahier allegato
décision decisione
villa villa
détaillée dettagliata
promis promesso
uruguayen uruguaiano
regard sguardo
effectifs effettivi
lori lori
forme forma
comprenant comprendente
pontoise siena
invitation invito
détruire distruggere
lyon bologna
moldavie moldavia
habitats habitat
ralph ralph
weimar weimar
arbre albero
tag tag
croyait credeva
temporairement temporaneamente
analogie analogia
conçue progettata
footballeur calciatore
intervenu intervenuto
vivante vivente
kim kim
côté lato
princesse principessa
rouges rosse
nulle nullo
burton burton
ultimate ultimate
vs vs
mayence magonza
ljubljana lubiana
allemandes tedesche
actualité attualità
johan johan
installation installazione
chaînes catene
idée idea
novak novak
prévoir prevedere
prisonniers prigionieri
accusés accusati
attribue attribuisce
hero hero
grosses grosse
water water
stratégies strategie
down down
espace spazio
impulsion impulso
décidèrent decisero
accès accesso
fréquemment frequentemente
collaboration collaborazione
astronomie astronomia
personne persona
veux voglio
miracles miracoli
athlétisme atletica
loge loggia
jeu gioco
norvège norvegia
préférences preferenze
étroit stretto
plages spiagge
vécut visse
préfecture prefettura
hogan hogan
pastorale pastorale
national national
manuscrit manoscritto
retiré ritirato
ailier terzino
positives positive
maintenance manutenzione
remonter risalire
derek derek
pompe pompa
observée osservata
héroïne eroina
objet oggetto
trains treni
rennais udinese
médecine medicina
express express
union unione
singes scimmie
dangereux pericoloso
protecteur protettore
conférence conferenza
libérer liberare
accroissement incremento
mon mio
pré pre
associé associato
// //
théorie teoria
photographie fotografia
captain captain
army army
silva alves
remarqué notato
massacre massacro
css css
rive sponda
europe europa
hong hong
oliveira oliveira
consulat consolato
jungle giungla
systèmes sistemi
argentine argentina
acronyme acronimo
vienne vienna
nouvelles nuove
cadre ambito
galaxies galassie
stèle stele
destiné destinato
perdit perse
cracovie cracovia
bis bis
hebdomadaire settimanale
commercialisation commercializzazione
avaient avevano
unesco unesco
calculer calcolare
size size
diversité diversità
shift shift
button button
donald donald
interventions interventi
motivations motivazioni
conserver conservare
royaume regno
galeries gallerie
frankenstein frankenstein
correspondants corrispondenti
pitié pietà
chancelier cancelliere
romantique romantica
shah shah
célébré celebrato
produisant producendo
avantages vantaggi
constantinople costantinopoli
influences influenze
guillermo guillermo
aura avrà
costume costume
moyenne media
cargo cargo
conduite condotta
défauts difetti
établi stabilito
arabes arabi
mexique messico
invention invenzione
fièvre febbre
schumacher schumacher
convainc convince
proies prede
adopte adotta
merveilles meraviglie
éditions edizioni
évreux arezzo
home home
commission commissione
milite militante
masque maschera
complot complotto
résonance risonanza
perspectives prospettive
ambassadeurs ambasciatori
valentine valentine
forum forum
mode mode
maladie malattia
rhétorique retorica
acier acciaio
joel joel
academy academy
pochette copertina
médicament farmaco
traitements trattamenti
think think
arctique artico
essaie cerca
juif ebreo
traités trattati
kosovo kosovo
morphologie morfologia
u u
se si
disciples discepoli
edmund edmund
coupes coppe
bouddhisme buddhismo
blonde bionda
koweït kuwait
davenport davenport
period period
ventre ventre
n° n°
nuremberg norimberga
responsable responsabile
fear fear
passionné appassionato
than than
pénétrer penetrare
facilement facilmente
république repubblica
australienne australiana
cancer cancro
coast coast
rencontres incontri
déclara dichiarò
elisabeth elisabeth
facilité facilità
lapin coniglio
connexion connessione
approfondir approfondire
logo logo
opposition opposizione
manhattan manhattan
secrète segreta
santé salute
protéine proteina
subdivisions suddivisioni
fédéral federale
heat heat
fair fair
tell tell
conservés conservati
marqués segnati
prêté prestato
chaos caos
avantage vantaggio
enfant bambino
esclaves schiavi
document documento
glass glass
reconnaît riconosce
dakar dakar
v v
klein klein
tallinn tallinn
romero romero
alimentaire alimentare
artificielle artificiale
duchesse duchessa
lynch lynch
prirent presero
édification edificazione
seules uniche
décollage decollo
plaisir piacere
strange strange
impériale imperiale
minnesota minnesota
règle regola
nous noi
coloration colorazione
th th
bêta beta
triomphe trionfo
messager messaggero
white white
épousé sposato
préface prefazione
cascade cascata
quai piazzale
noyau nucleo
phases fasi
sacrée sacra
hardy hardy
savait sapeva
gang gang
périphérique periferica
ace ace
directs diretti
matériau materiale
effectivement effettivamente
carrie carrie
university university
décrites descritte
fasciste fascista
luis luis
buts gol
nommé nominato
cinématographiques cinematografici
travailleurs lavoratori
hardcore hardcore
helsinki helsinki
rival rivale
alien alien
voudrait vorrebbe
animateur animatore
intitulé intitolato
prend prende
habsbourg asburgo
cinq cinque
monseigneur monsignor
admettre ammettere
enquête inchiesta
kane kane
métallique metallico
pauvres poveri
cyclistes ciclisti
lancement lancio
biologique biologico
fausse falsa
roues ruote
vietnam vietnam
conservée conservata
south south
doubles doppi
anciens antichi
serai sarò
détruite distrutta
institutions istituzioni
éventuelles eventuali
fonctionnalités funzionalità
crimes crimini
voudrais vorrei
déclaration dichiarazione
bouclier scudo
théâtres teatri
réponse risposta
ltd ltd
efforts sforzi
projets progetti
annales annali
continuant continuando
opus opus
monté montato
zélande zelanda
races razze
signer firmare
championnat campionato
paroi parete
indiqués indicati
intense intensa
remporte vince
sensibles sensibili
call call
mondiaux mondiali
cloches campane
remplacées sostituite
taches macchie
chen chen
traditionnels tradizionali
rythme ritmo
majesté maestà
carbone carbonio
gymnaste ginnasta
gênes nizza
disposait disponeva
rapproche avvicina
commercial commerciale
navigation navigazione
poitiers salerno
trajet tragitto
miami miami
communément comunemente
jefferson jefferson
sommet cima
prolongée prolungata
trust trust
shannon shannon
assister assistere
wave wave
résistance resistenza
zoologiste zoologo
étrangers stranieri
printemps primavera
gascon sardo
days days
tina judy
solaire solare
complexité complessità
ajoute aggiunge
cri grido
habitations abitazioni
couche strato
envoie invia
pourcentage percentuale
transférés trasferiti
padoue montpellier
talent talento
antonin albino
recevoir ricevere
défense difesa
