machte hizo
armutsgrenze cápita
times times
verwaltungssitz ubicada
begegnungen encuentros
position posición
word word
youtube youtube
patricia patricia
vincent vincent
romane novelas
biologische biológico
zagreb zagreb
volkszählung censo
klinik clínica
nm nm
verantwortlichen responsables
rom roma
verständnis entendimiento
out out
blaue azul
broadway broadway
geometrie geometría
hauptquartier cuartel
lateinisch latín
wand pared
ersten primeros
gegenden zonas
schülern alumnos
ernte cosecha
jr jr
if if
feldern campos
info info
umfasst comprende
statt cabo
meinungen opiniones
ungefähr aproximadamente
verteidigte defendió
wunsch deseos
kongo congo
living living
herzegowina herzegovina
doc doc
wiki wiki
natürlichen naturales
niederlande holanda
eröffnet inaugurado
fahrzeugen vehículos
ips ips
national national
modernisierung modernización
verbesserungen mejoras
catalogue catalogue
suchte buscó
zerstören destruir
gesetze leyes
long long
sojus soyuz
seitlichen laterales
kärntner osorno
sitz sede
mountain mountain
übernahme adquirida
integrieren incorporar
karen karen
won won
self self
gleichungen ecuaciones
rgb rgb
kings kings
struktur estructura
einkünfte rentas
genossenschaft cooperativa
geist espíritu
erschienen publicadas
minderheiten minorías
abend mañana
friends friends
information información
hört escucha
nachwort prólogo
hauptsächlich principalmente
unruhen disturbios
demokratischen democrática
zuschauer espectadores
   
power power
legende leyenda
z ej
abgebildet figura
regentschaft regencia
verfilmt protagonizado
gen gen
anwesenheit presencia
langsam lentamente
pascal pascal
kommerziell comercialmente
administratoren administradores
trikot camiseta
variable variable
ausdehnung extensión
stern estrella
database database
beigesetzt enterrado
office office
teilnahmen participaron
sebastian sebastian
chinese chinese
verwandten parientes
geschützten protegidos
dein mí
zhang zhang
misst mide
perry perry
lex lex
fußball fútbol
disney disney
temple temple
kolonie colonia
reife madurez
bronze bronce
grammatik gramática
fünfzig cincuenta
verpflichtete contrató
dokument documento
thailand tailandia
vereinigungen asociaciones
arizona arizona
daily daily
erstreckt extiende
auftreten aparecer
boy boy
bogen arco
erzbistums arquidiócesis
gewonnen obtenido
lüttich lieja
waffe arma
orientierung orientación
professionellen profesionales
porter porter
brust pecho
römischen romana
kaum apenas
ottawa ottawa
trotz pese
verteilung distribución
marokko marruecos
kulturelles cultural
. .
toten muertos
chaos caos
übrigen demás
net net
jura jura
patrick patrick
wolken nubes
iran irán
claudia claudia
prüfungen exámenes
wieder volviendo
konventionen convenciones
ausschluss exclusión
key key
biography biography
bay bay
synthese síntesis
abgeordneter diputado
bereitete preparó
philologie filología
pisa pisa
jazz jazz
tief profundo
soweit bien
ausländischer extranjera
gesehen visto
expedition expedición
karosserie carrocería
sieger vencedor
kg kg
verlängerung prolongación
mathematiker matemático
liberal liberal
audio audio
gebäuden edificios
unterstand dependía
verbessert mejorado
übersetzt traducido
ja ¿no
design diseño
roman novela
guide guide
km/h km/h
niedergang decadencia
getötet matado
taylor taylor
sichtbar visible
gebildete formando
gesellschaft sociedad
regiment regimiento
portugal portugal
eier huevos
diamond diamond
keinem ninguno
salz sal
reise viaje
produkt producto
rebecca rebecca
uefa uefa
römern romanos
burke burke
française française
blut sangre
ernest ernest
gegenstand objeto
biologie biología
baseball béisbol
gras hierba
monate meses
handbook handbook
bernhard gastón
petra petra
space space
niederländische neerlandesa
jet jet
wenn si
hände manos
nominierung nominación
biografien biografías
ernannt nombrado
diesen estos
besetzen ocupar
herausforderung desafío
psychologie psicología
#weiterleitung #redirección
hand mano
besuchern visitantes
domenico domenico
bmw bmw
peugeot peugeot
hatten tenían
brand incendio
übers trad
transparenz transparencia
versteht entiende
aufsicht supervisión
übte ejerció
ellis ellis
turm torre
wechselte militó
stella stella
roosevelt roosevelt
prototypen prototipos
wörterbuch diccionario
komponente componente
dieselben mismas
brach rompió
räder ruedas
gletscher glaciar
case case
joy joy
liste lista
rechtschreibung ortografía
cape cape
vampir vampiro
staatsanwalt juez
corpus corpus
auftritte presentaciones
herbert walter
damen damas
antwerpen amberes
hätten hubieran
korrigieren corregir
pilz hongo
saturn saturn
ursprünglich originalmente
gay gay
bestehend formada
soziologie sociología
harry frank
dokumenten documentos
weil porque
woiwodschaft voivodato
womöglich seguramente
anführer líder
germain germain
debatten debates
street street
mathematik matemáticas
olympischen olímpicos
musste debió
machine machine
luigi luigi
morris morris
notwendigkeit necesidad
late late
aussterben extinción
künstlerischen artística
norman norman
titel título
bagdad bagdad
beton hormigón
stiftung fundación
kaspar melchor
ausführen ejecutar
geräten dispositivos
erfolge éxitos
einem uno
zitiert citado
europameisterschaft eurocopa
vielen muchos
kampagne campaña
eroberung conquista
pink pink
gott dios
be be
mittelmeer mediterráneo
repräsentantenhaus congresional
flughäfen aeropuertos
klavier piano
serbien serbia
ähnliche similares
fk fk
entwickelte desarrolló
antworten preguntas
fünf cinco
bestandteil incorporada
hölle infierno
cohen cohen
sklaven esclavos
versorgung abastecimiento
agent agente
gerät dispositivo
treppe escalera
nazis nazis
kv kv
melbourne melbourne
monitor monitor
jeremy jeremy
antenne antena
provinzen provincias
reichtum riqueza
behauptungen afirmaciones
typisch típico
bildschirm pantalla
zeigte mostró
juristen juristas
isaac isaac
hampshire hampshire
po po
fehlen faltan
education education
kugel bola
russische ruso
literarische literarias
zentral central
galerie galería
jahrzehnte décadas
sogenannten denominados
hugh hugh
traditionellen tradicionales
angola angola
abschnitt sección
m m
geändert cambiado
einzige único
weg camino
there there
hindernis obstáculo
eis hielo
staatsanwaltschaft fiscalía
test test
zugang acceso
breiter margen
anthologie antología
männern hombres
erlitt sufrió
gewöhnliche común
beamter funcionario
vorbei yendo
kämpften lucharon
sultan sultán
gray gray
definieren definir
möglichkeiten posibilidades
schädel cráneo
hinsichtlich cuanto
stuttgart stuttgart
transportieren transportar
haven haven
+ +
veröffentlicht publicado
ingenieur ingeniero
bros bros
gingen quedaron
zurückzukehren regresar
side side
sechster octavo
gesundheit salud
athen atenas
stattfand celebró
bewahren conservar
zehn diez
person persona
zentrum centro
idee idea
gewonnenen obtenidos
qualität calidad
anfang mediados
neuen nuevos
bild imagen
columbia columbia
basic basic
émile émile
ps hp
rudolf rodolfo
magie magia
familien familias
action action
aristoteles aristóteles
starb murió
übersiedelte mudó
überarbeitet revisado
brüder hermanos
zweite segundo
frankfurt/main frankfurt
beweisen demostrar
heute hoy
lissabon lisboa
mw mw
extremen extremas
port port
verfall ruina
studierte estudió
daher razón
century century
toyota toyota
strategie estrategia
belgische belga
sound sound
aaron aaron
sud sud
prinz príncipe
musica musica
niger níger
police police
benzin gasolina
model model
mittels mediante
ketten cadenas
halten mantenerse
− −
morde asesinatos
complete complete
volumen volumen
planung planificación
vorstand directivo
australien australia
betrifft afecta
persönlichkeit personalidad
grammy grammy
humor humor
mecklenburgische rchb
mt mt
time time
messungen mediciones
autobiographie autobiografía
scheinbar aparentemente
option opción
ähnlich similar
erweitert ampliado
wehrmacht wehrmacht
weltweit mundialmente
jahr año
#aaa #f
hunderte decenas
depression depresión
côte côte
ausdrücke expresiones
palästina palestina
harris harris
demokratie democracia
phoenix phoenix
public public
comic comic
weiteres este
sensoren sensores
reisenden viajeros
horizont horizonte
institute institute
schafe ovejas
analyse análisis
kommentar comentario
serbisch serbio
vizekönig virrey
force force
cameron cameron
hotels hoteles
entdeckt descubierto
mischung mezcla
william william
ny ny
ma ma
village village
klinischen clínicos
festgenommen arrestado
services services
erfolgte llevada
australian australian
jenen aquellos
francis francis
geistige intelectual
flash flash
indien india
ankündigung anuncio
geschriebenen escritos
lesen leer
autorin autora
protagonisten protagonistas
zeugen testigos
fehlern errores
fußballspieler futbolista
hollywood hollywood
trompete trompeta
flughafen aeropuerto
wilden salvajes
mythen mitos
erleichtern facilitar
derselben misma
major major
kennedy kennedy
christentum cristianismo
exil exilio
zeitpunkt momento
alan alan
ring anillo
show show
simulation simulación
extrem extremadamente
before before
metal metal
jenseits allá
through through
brief carta
fälschlicherweise erróneamente
till till
mittelalterlichen medievales
montenegro montenegro
dort allí
ausgesprochen pronunciado
besten mejores
israel israel
tanz danza
nrhp township
gründete fundó
funktionen funciones
namens llamada
zukünftigen futuros
experten expertos
ehefrau esposa
allmählich gradualmente
fu fu
versammlung asamblea
allerdings pero
prix prix
unklar desconoce
anne anne
integrierten integrados
zeichnungen dibujos
import importación
fire fire
wichtigsten importantes
lancaster lancaster
anschloss unió
intervention intervención
kategorien categorías
bureau bureau
computer computadora
verlorenen perdidos
emmanuel emmanuel
beispielen ejemplos
gefährliche peligrosas
atlantik atlántico
wind viento
onkel tío
guillaume guillaume
ausrüstung equipamiento
welchem cuál
antrag solicitud
geographie geografía
dünne delgada
früchte semillas
three three
verletzt gravemente
verbessern mejorar
unterwegs viajando
shuttle transbordador
tabellen tablas
another another
f f
geld dinero
neuerungen innovaciones
verließen abandonaron
entschlossen decidido
helden héroes
starteten lanzaron
lyrik poesía
rhythm rhythm
großmutter abuela
nashville nashville
streckenabschnitt tramo
wald bosque
situationen situaciones
interpretationen interpretaciones
mund boca
pius pío
erhält obtiene
bären oso
einfachen simples
joan joan
point point
andy andy
jones jones
galaxie galaxia
gültige válido
dialekt dialecto
suche búsqueda
gleichgewicht equilibrio
giorgio giorgio
erfüllen cumplir
libretto libreto
bezirk distrito
hawaii hawái
allzu demasiado
unterzogen sometido
zentimeter centímetros
cm cm
spam spam
wiederwahl reelección
reguläre regular
erscheinungsbild aspecto
mk mk
gottheit deidad
musikvideo videoclip
spiegelt refleja
bde vols
ehrenmitglied honorario
stellt trata
unterstützt apoyado
flucht huida
sommer verano
konferenz conferencia
interne interno
organisation organización
begriff término
little little
versuch intento
pc pc
komponenten componentes
missionar misionero
boeing boeing
nationalen nacionales
harvard harvard
parameter parámetro
tell tell
breite anchura
anatomie anatomía
legt pone
min min
charles charles
sweet sweet
innerhalb dentro
kaffee café
besaß poseía
kevin kevin
zurückziehen retirarse
tournee gira
who who
entdeckten descubrieron
zweige ramas
prince prince
religion religión
wesentlichen básicamente
indiana indiana
relief relieve
angesehen considerado
journalist periodista
euro euros
studios studios
europa europa
never never
komplexe complejas
regelt regula
movie movie
trug llevaba
ähnlichkeit similitud
ah ah
team team
flöte flauta
mission misión
pokal copa
alkohol alcohol
rd rd
herzogtum ducado
grade grado
mythologie mitología
dynastie dinastía
linken izquierda
joão joão
television television
nachfolgend continuación
produkten productos
preis premio
lyon lyon
jemals jamás
besuchte asistió
touristische turístico
bbc bbc
personen personas
demokraten demócratas
akademie academia
non non
maschinen máquinas
## ##
gewalt violencia
dreharbeiten rodaje
anerkennung reconocimiento
oscar óscar
kamen llegaron
univ univ
abgerufen consultado
töten matar
names names
ernst ernesto
relevante relevante
jene aquellas
remix remix
gesang coros
/ /
bar bar
dark dark
vikar vicario
unterschiedlichen diferentes
schickt envía
zealand zealand
scheidung divorcio
entwickelten desarrollaron
julien julien
äthiopien etiopía
stefan stefan
bauernhof granja
katholiken católicos
enorm enormemente
gregory gregory
arzt médico
religionen religiones
millionen millones
reiste viajó
ebenda ibídem
bieten ofrecen
… …
entscheidungen decisiones
nordost nordeste
begegnung encuentro
fr fr
doppel dobles
franziskaner franciscano
tom tom
kavallerie caballería
vegas vegas
leute gente
exemplar ejemplar
verschwunden desaparecido
siedlungen asentamientos
udssr urss
presse prensa
erneuerung renovación
glaubte creía
flüssen ríos
ließ mandó
produzent productor
two two
brüssel bruselas
möglicherweise posiblemente
mond luna
d d
wettbewerb concurso
coast coast
verbindet conecta
fahrzeug vehículo
verlangte exigió
julia julia
unterstützung apoyo
resultat resultado
beantragt solicitado
unterarten subespecies
giovanni giovanni
festival festival
corps corps
chicago chicago
marie marie
bett cama
rice rice
wände paredes
gebäude edificio
martin martin
jin jin
zugehörigkeit pertenencia
vier cuatro
gruß saludos
socks socks
sp sp
jesuiten jesuitas
aktivisten activistas
like like
knochen huesos
kommen vienen
minute minuto
pokalsieger supercopa
gelblich amarillento
kohl maduro
volume volume
reisen viajes
miniserie miniserie
airbus airbus
leder cuero
asiaten asiáticos
taktik táctica
louis louis
knoten nudos
wurden fueron
eishockey hockey
zurzeit actualmente
lies has
with with
kehrt regresa
athletic athletic
ausländische extranjeras
derjenige aquél
eigentum propiedad
jamaika jamaica
irene irene
flaggen banderas
ausschließlich exclusivamente
ausbruch estallido
traditionelle tradicional
church church
scott scott
zustimmung aprobación
mögliche posible
clay clay
klingt suena
italienische italiano
hopkins hopkins
bauen construir
assistent ayudante
dänemark dinamarca
awards awards
dubai dubái
geschwindigkeit velocidad
french french
things things
türkische turco
neapel nápoles
uhren relojes
aufgelistet listado
- -
übersetzungen traducciones
individuum individuo
alberta alberta
foster foster
ru ru
seelen almas
look look
dresden dresde
boston boston
middle middle
pete pete
são são
christlichen cristiana
echo eco
mare mare
verbot prohibición
eroberte conquistó
wollten querían
produziert producido
schöpfer creador
medizin medicina
ordnete procedió
trade trade
debüt debut
eduard eduard
etappen etapas
adolf adolf
angst miedo
stattfanden celebraron
zuhause hogar
enthalten contienen
erlernte aprendió
kairo cairo
viertelfinale semifinales
kannst puedes
inter inter
beibehalten conservando
marke marca
universitäten universidades
kalender calendario
also decir
paradise paradise
übernahm asumió
erben herederos
gebaut construido
weniger menos
innern interior
zweifel dudas
flight flight
jahrhundertwende xix
angegriffen atacado
frage cuestión
polens polonia
druck presión
can can
ei huevo
intellektuellen intelectuales
ländereien tierras
barock barroco
gespräche conversaciones
provinz provincia
bund confederación
seinerseits éste
gegen contra
mit con
ron pat
codes códigos
folgend siguiendo
typischerweise típicamente
kann puede
lösung solución
kindheit niñez
alter edad
rauch humo
america america
sun sun
gewebe tejido
ecken esquinas
einheitlich distinto
steel steel
want know
verwenden utilizar
bristol bristol
slam slam
feststellen darse
united united
besitzt posee
abtei abadía
münzen monedas
food food
liga liga
stipendium beca
gewinnung extracción
untergang hundimiento
siege victorias
belagerung asedio
york york
publikationen publicaciones
slowenien eslovenia
paraguay paraguay
rechtliche legal
eröffnung inauguración
möglichkeit posibilidad
erfordert requiere
soccer soccer
apostolischen apostólica
betroffenen afectados
kammern juntas
bakterien bacterias
foto foto
darstellungen representaciones
rue rue
country country
geleitet dirigido
bewaffnung armamento
borough borough
college college
gabriel gabriel
hab tengo
hebräisch hebreo
unfall accidente
minuten minutos
bezahlen pagar
turin turín
oberflächen superficies
menschheit humanidad
hat ha
kette cadena
petit petit
einführen introducir
berater asesor
genauigkeit precisión
bibel biblia
mangelnde falta
kuba cuba
anhängern seguidores
klasse clase
ausbildung formación
fähig capaz
gas gas
gelangte llegó
konzession concesión
freundin amiga
moses moisés
fotografen fotógrafos
dallas dallas
prinzipiell cualquiera
dank gracias
rebellen rebeldes
battle battle
alexandre alexandre
body body
bewaffneten armados
bekämpfen combatir
magen estómago
online online
town town
seiten páginas
sekunden segundos
sich a
romanische románica
logische lógico
bedürfnisse necesidades
ukrainischer ucraniano
single single
ausstellung exposición
bye bye
singer singer
qui qui
revolutionär revolucionario
indirekt indirectamente
späte tardía
landebahn aterrizaje
identifiziert identificado
gründen razones
milan milan
entnommen extraído
denis denis
schweizerische mexicana
gert armando
befindet halla
ballade balada
teilung partición
say say
british british
ermordet asesinado
töchter hijas
how how
indianer indios
gegenwärtig actualidad
museum museo
verlor perdió
margaretha francisca
uss uss
women women
ruhm fama
anspielung alusión
audi audi
verwaltung administración
journal journal
tieren animales
erweitern ampliar
olivier olivier
betroffen afectado
vereint integra
upon upon
creek creek
periode periodo
dimension dimensión
apple apple
litauen lituania
jpg jpg
eigene propio
stabilität estabilidad
kollegen colegas
disk drini
gar nada
singh singh
i i
halbinsel península
bergbau minería
überzeugt convencido
merkmal rasgo
karibik caribe
éditions éditions
gate gate
theorie teoría
faktor factor
verfassung constitución
corporation corporation
riesen gigantes
medizinische médicas
ausführung ejecución
verliebt enamora
entfernen quitar
beeinflusst influenciado
shanghai shanghai
beschreiben describir
lippe peru
hals cuello
// //
interviews entrevistas
klagenfurt santiago
ausgeliehen cedido
macmillan macmillan
soziale social
verona verona
geschichtsschreibung historiografía
singt canta
williams williams
nannten llamaron
inhalten contenidos
ancient ancient
benötigen necesitan
jedes cada
gesagt diría
mp mp
army army
ba ba
vorhandene existente
daniel jonathan
elite elite
étienne étienne
würdigung contribución
betrachten considerar
verwirrung confusión
gewählten elegidos
jimmy jimmy
cap cap
khan khan
möglichen posibles
hypothese hipótesis
vergleich comparación
mans mans
bistums diócesis
interesse interés
isbn isbn
spielern jugadores
glocke campana
während durante
bürgermeister alcalde
professorin profesora
variiert varía
trinity trinity
kriege guerras
hammer martillo
emily emily
rolling rolling
masse masa
laut señala
schlafen dormir
lake lake
memorial memorial
noten notas
bildhauer escultor
studies studies
jefferson jefferson
community comunidad
buchhandlung librería
jemen yemen
jun jun
wang wang
jury jurado
windows windows
plan plan
liebe amor
miami miami
belgien bélgica
schnee nieve
bauern campesinos
beigetragen contribuido
tv tv
scheinen parecen
alle todos
industrialisierung industrialización
party party
kombiniert combina
sowjetische soviético
archäologe arqueólogo
nominiert nominado
rheinland panamá
schrieben escribieron
nicholas nicholas
begann comenzó
philadelphia filadelfia
künste bellas
wahlen elecciones
connecticut connecticut
stämme tribus
orchestra orchestra
too too
vs vs
bush bush
berlin aires
markt mercado
wa wa
nr nº
nachfolger sucesor
viele muchas
hans hans
harbor harbor
bereitet prepara
irische irlandés
landsmann compatriota
navigation navegación
biologischen biológicos
denen cuales
verdacht sospecha
aussprache pronunciación
könnten podrían
milton milton
gedichten poemas
serben serbios
unbekannt desconocido
au au
via via
zuständig encargado
medaille medalla
einwohner habitantes
hatte había
freude alegría
tötete mató
schwache débil
positiven positivos
sports sports
berühmten famosos
bevölkerungsdichte densidad
unternahm emprendió
einzigen únicos
tendenz tendencia
early early
verhaftung arresto
stahl acero
geplant planeado
book book
rinde corteza
run run
festgelegt fijado
léon léon
verhinderte impidió
turbo turbo
henri henri
touch touch
negativen negativos
berkeley berkeley
challenger challenger
scheint parece
malaysia malasia
aktivität actividad
hintergründe acerca
finnland finlandia
your your
nations nations
sturz caída
ausgenommen exceptuando
bedeutete significó
einladung invitación
aufgabe tarea
nicht no
drehbuch guion
gouverneur gobernador
hund perro
japanese japanese
glücklich feliz
üblich habitual
historiker historiador
einheit unidad
ip ip
rise rise
fragen cuestiones
wusste sabía
# #
nimmt toman
schottischer escocés
mer mer
sd sd
theoretischen teóricos
systemen sistemas
padua padua
rhetorik retórica
durchgeführten realizados
offizielle oficial
gelebt vivido
fifa fifa
entlassen despedido
besonderer singular
weiterleitung redirección
freigelassen liberado
wurde fue
betrag pesos
kontinent continente
henry henry
weiterentwicklung desarrollada
rechtlich legalmente
rs rs
fischerei pesca
komplexität complejidad
ministerium ministerio
bo bo
guardian guardian
playoffs playoffs
flugzeug avión
erwähnt mencionado
most most
offiziell oficialmente
sozialen sociales
pakistan pakistán
kunde cliente
mutter madre
hauptfigur protagonista
installiert instalado
hardcore hardcore
chang chang
westminster westminster
wert valor
österreichs chile
umwelt ambiente
plural plural
büros oficinas
boden suelo
abgeschlossen concluido
elisabeth margarita
modifiziert modificado
reihenfolge ordenadas
unterschiede diferencias
london londres
kopie copia
betreuung asistencia
strauss strauss
dc dc
referendum referéndum
trust trust
charts chart
montiert montado
übungen ejercicios
übertragung transmisión
foundation foundation
leid sufrimiento
alois franz
modus modos
price price
herstellen fabricar
cannes cannes
l l
katastrophe desastre
main meno
paul paul
angewandt aplicado
geringe escasa
austragung disputada
latin latin
malerei pintura
shakespeare shakespeare
überquert cruza
queens queens
city city
protokoll protocolo
zar zar
enthielt contenía
francesco francesco
angelo angelo
mongolei mongolia
linden olmos
big big
serie serie
kultur cultura
zeichner dibujante
theologe teólogo
schottischen escocesa
dublin dublín
christen cristianos
folgenden siguientes
gemüse verduras
verstarb falleció
echten verdaderos
wein vino
impact impact
initiator promotor
neil neil
tragödie tragedia
jungen jóvenes
freiwilliger voluntario
judentum judaísmo
persischen persa
angekündigt anunciado
! !
fortschritt progreso
erlaubnis permiso
dictionary dictionary
arts arts
komiker comediante
organ órgano
trennt separa
zählten destacaron
girl girl
steve steve
löwen leones
korruption corrupción
ebenso igualmente
year year
england inglaterra
nunmehr quedando
winkel ángulo
museen museos
vorsitz presidida
anschauen ver
vielfalt diversidad
festivals festivales
dj dj
kontroversen controversias
irrelevant irrelevante
meer mar
operationen operaciones
zypern chipre
communauté communauté
saint saint
verliert pierde
werkstätten talleres
revue revue
vw volkswagen
canterbury canterbury
stausee embalse
fließt fluye
dargelegt explicado
syrien siria
begleitet acompañado
murder murder
reichweite alcance
große gran
kong kong
notre notre
konzerten conciertos
beträgt oscila
wallace wallace
bedingungen condiciones
kreuzen cruces
admiral almirante
nato otan
bereits anterioridad
jakobus apóstol
abstammung ascendencia
mills mills
rc rc
jährlichen anuales
kate kate
admin bibliotecario
überleben sobrevivir
v v
collins collins
japaner japoneses
filmen filmes
straßburg estrasburgo
pi pi
kapitän capitán
übersetzen traducir
schweiz méxico
lediglich únicamente
moderne moderno
taiwan taiwán
formell formalmente
empfehlungen recomendaciones
verlieren perder
unter bajo
präzise preciso
ii ii
stewart stewart
commons commons
wc wc
larven larvas
mittelpunkt centrada
type type
geliebte amante
angriffen ataques
to to
dienten servían
mittelfeldspieler centrocampista
höchste máxima
hauptstadt capital
opfern víctimas
leitete presidió
sous sous
insassen ocupantes
weihe consagración
komitee comité
charakterisiert caracterizado
guido guido
trockenen secos
shorts shorts
gold oro
quatsch digo
gewölbe bóvedas
februar febrero
gmünd ibáñez
verse verso
bezüglich respecto
budapest budapest
serien series
kaliber calibre
ließe podríamos
lehnte rechazó
post post
erfahrungen experiencias
± ±
mechanismen mecanismos
erzählung relato
kranken enfermos
infolge consecuencia
