matthieu lukas
préface vorwort
return return
fondé gegründet
école schule
utilisation verwendung
spectre spektrum
douleurs schmerzen
tension spannung
dépression depression
woman woman
kansas kansas
détermine bestimmt
bristol bristol
history history
censé soll
sept sieben
made made
diverses verschiedene
elizabeth elizabeth
clairement eindeutig
charlotte caroline
pie pius
navigation navigation
statut status
ex ex
mr mr
enthousiasme begeisterung
compréhension verständnis
sin sin
ev ev
hoffmann köhler
trade trade
arthur arthur
toponyme ortsname
commandes aufträge
url url
divinité gottheit
décrit beschrieben
visuelle visuelle
option option
miami miami
hits hits
parallèles parallele
vides leeren
sylvia sylvia
présidentielle präsidentschaftswahl
lycée oberschule
existe gibt
artistique künstlerische
rolling rolling
natale heimatstadt
hanovre hannover
aéroports flughäfen
républicaine republikanische
syndrome syndrom
restaurant restaurant
que dass
vatican vatikan
lawrence lawrence
sociétés gesellschaften
boys boys
maría maría
cite zitiert
fire fire
format format
tourisme tourismus
picasso picasso
améliorer verbessern
presse presse
projets projekten
successifs nachfolgenden
− −
abel abel
vermont vermont
société gesellschaft
autoroute autobahn
menée führung
ja ba
moral moral
sorcière hexe
soldat soldat
big big
secret geheimnis
chan chan
monténégro montenegro
world world
statistiques statistiken
socialisme sozialismus
lion löwe
then then
poussière staub
fournit liefert
viticulture weinbau
insulte beleidigung
espèces arten
héritiers erben
align align
semblent scheinen
angelo jean
fondateur gründer
techniques techniken
synonyme synonym
till till
artists artists
archéologie archäologie
liaison verbindung
âmes seelen
. .
cousins verwandten
walt walt
réunification wiedervereinigung
of of
travail arbeit
caché versteckt
if if
rire lachen
acier stahl
thriller thriller
mains händen
alliées alliierten
équation gleichung
milan mailand
city city
malgré trotz
kramer buck
colonel oberst
ss ss
depuis seit
îles inseln
rochers felsen
récits erzählungen
auteure autorin
points punkten
poème gedicht
lo lo
régiment regiment
rss ssr
magnus magnus
investisseurs investoren
autrefois früher
conference conference
utilisateur benutzers
verbes verben
carrosserie karosserie
régulièrement regelmäßig
trail trail
km km
manhattan manhattan
doc doc
dépassant höher
organisés organisierten
toile leinwand
marguerite margarethe
certaine gewisse
variables variablen
places plätzen
bayonne koblenz
ponts brücken
space space
prestigieux renommierten
habsbourg habsburger
permanence permanent
are are
synode synode
suggéré angenommen
nashville nashville
shoah holocaust
i i
bloch bloch
athènes athen
commun engeren
principaux wichtigsten
kiel kiel
raison wegen
org org
site website
sources quellen
little little
austin austin
vrais echten
† †
citoyens bürgern
tache fleck
appelées sogenannte
saints heiligen
définir definieren
ice ice
karen karen
harold harold
provisoirement vorläufig
confondu verwechselt
répandu verbreitet
león león
félix hugo
description beschreibung
hp hp
real real
contraint gezwungen
margaret margaret
affecte beeinträchtigt
synthèse synthese
moïse moses
images bilder
muraille mauer
palma palma
proches näheren
participa teilnahm
stratégique strategische
bloc block
guitare gitarre
étudiants studenten
guatemala peru
désormais nunmehr
élevées niedrige
special special
terrasse terrasse
cordoue córdoba
plant plant
français deutsch
xi xi
charbon kohle
tester testen
russie russland
lake lake
x x
alfonso alfonso
proposé vorgeschlagen
essayant indem
dépasser überschreiten
il er
multi multi
bataille schlacht
critics critics
dan dan
réussi gelungen
richmond richmond
villes städte
ethnie ethnie
bmw bmw
réduire reduzieren
wood wood
volcan vulkan
saisons saisons
licence lizenz
emile otto
pauvreté armut
martín martín
individus individuen
all all
andes anden
nouvelle neuer
monica monica
cadavre leiche
james james
lors vorfeld
charlie charlie
longtemps jahrelang
été worden
schmitt schmitt
watch watch
strictement strikt
slalom slalom
texte text
diagramme diagramm
lord lord
alcool alkohol
christina christina
rejet ablehnung
considérer betrachten
pacific pacific
robert robert
with with
perse persien
retourner zurückzukehren
fox fox
works works
baby baby
controverse kontroverse
campagne kampagne
aérodrome flugplatz
virtuelle virtuelle
refusa weigerte
abandonné aufgegeben
pl pl
sang blut
pavillon pavillon
organiser organisieren
écrivaine schriftstellerin
application anwendung
théoriquement theoretisch
myspace myspace
violence gewalt
confirmation bestätigung
renaissance renaissance
massive massive
client kunde
alfa alfa
parallèle parallel
sylvie angelika
alberta alberta
librement frei
faibles schwache
benjamin daniel
biologique biologische
diminuer verringern
réelle tatsächliche
historia historia
devient fungiert
répétition wiederholung
ombre schatten
romans romanen
bactéries bakterien
après erst
circus circus
définis definierten
palazzo palazzo
lève sitzt
rénové renoviert
conservé erhalten
médias medien
bulletin mitteilungen
guerres kriege
nécessaires notwendigen
possédait besaß
contributions beiträge
paula paula
meilleurs besten
préférence bevorzugt
arbres bäume
extrémité gegenüberliegenden
faubourg vorstadt
amsterdam amsterdam
manuscrit handschrift
tournée tournee
franchise franchise
jusque hinein
sélectionné ausgewählt
plomb blei
restauré restauriert
tree tree
méthode methode
vieux alte
vagues wellen
ballade ballade
histoires geschichten
borough borough
groupes gruppen
jeremy jeremy
percy percy
peugeot volkswagen
ballet ballett
voyait sah
rob rob
jamaïque jamaika
édifice bauwerk
annulée erneute
airport airport
ip ip
lincoln lincoln
constater feststellen
species species
jackson jackson
ju ju
ordres befehl
propose anbietet
équipé ausgerüstet
actuelle heutigen
accompagné begleitet
ventre bauch
lituanie litauen
aristote aristoteles
jon jon
doivent müssen
m² m²
murder murder
archéologues archäologen
windsor windsor
press press
toyota toyota
golden golden
jorge jorge
devil devil
kent kent
make make
# #
sms sms
bleue blauen
réfugiés flüchtlinge
hms hms
termina beendete
son seine
lequel welchem
payer bezahlen
observer beobachten
reliques reliquien
hockey eishockey
statistique statistische
udf spd
convention konvention
hall hall
single single
restaurants restaurants
rameur ruderer
différents unterschiedlichen
wa wa
israélienne israelische
tué getötet
profondeur tiefe
$ $
traitant behandelt
jeunes jungen
gerald gerald
piper piper
donation schenkung
exercé ausgeübt
julian julian
variant variiert
invention erfindung
france deutschland
abside apsis
réagit reagiert
chicago chicago
intégralité komplette
défense verteidigung
unanimité einstimmig
taille größe
star star
directeur direktor
eastern eastern
nazi nazi
cimetière friedhof
zoologie zoologie
permettant ermöglicht
expéditions expeditionen
symbolise symbolisiert
archevêque erzbischof
démontré bewiesen
transfert transfer
track track
theory theory
fruits früchten
music music
chief chief
roy roy
biathlon biathlon
voitures fahrzeuge
échapper entkommen
sonny kenny
fais machst
paraît erscheint
stress stress
chose bloß
travaille arbeitet
tissu gewebe
gustav gustav
nageur schwimmer
téhéran teheran
logiciel software
fans fans
pluriel plural
fortement stark
jung jung
bruxelles brüssel
atlantis atlantis
pape papst
numéros nummern
formelle formale
uni großbritannien
néerlandais niederländisch
consensus konsens
vaincre besiegen
lui ihn
médecin arzt
alma alma
livres büchern
mozart mozart
précision genauigkeit
chœur chor
affaire affäre
tant als
hopkins hopkins
australian australian
religieux religiösen
sein innerhalb
minor minor
mexicaine mexikanische
- -
chant gesang
par durch
recommande empfiehlt
chaque jedes
hope hope
utilise nutzt
put konnte
jonas jonas
témoigne zeugt
gouvernements regierungen
atlantique atlantik
blé getreide
ténèbres geister
xvi xvi
dollars dollar
complété ergänzt
disposent verfügen
anton anton
franklin franklin
moscou moskau
étoiles sterne
collègues kollegen
honda honda
avait hatte
nos unseres
microsoft microsoft
nominations nominierungen
ocean ocean
arc bogen
vandalisme vandalismus
vaincu besiegt
obtient erhält
intégrés integrierten
teatro teatro
quelqu jemand
écrire schreiben
discrimination diskriminierung
formée gebildet
biologiques biologischen
sommeil schlaf
kiss kiss
jackie jackie
successivement nacheinander
chuck chuck
évêque bischof
airlines airlines
ténor tenor
free free
bulle bulle
signifier bedeuten
régulières regelmäßige
comparer vergleichen
honneur ehren
grant grant
psychologie psychologie
soccer soccer
égypte ägypten
by by
pain brot
western western
ajouter hinzufügen
low low
maryland maryland
stades stadien
phillips phillips
actes akten
émérite emeritierter
eugene eugene
chimique chemische
nigeria nigeria
that that
production produktion
alabama alabama
domingo domingo
francesco francesco
expression ausdruck
identité identität
au zum
facteurs faktoren
candidat kandidat
there there
passe wechselt
obligation pflicht
aspect erscheinungsbild
reflète spiegelt
armées armeen
russe russische
bbc bbc
cependant jedoch
dream dream
abraham abraham
portail portal
ennemi feind
séminaire seminar
order order
élèves schüler
intérêts interessen
permission erlaubnis
clay clay
manuscrits handschriften
béton beton
concernant bezüglich
test test
castle castle
round round
démocratie demokratie
birds birds
hormis lediglich
quitta verließ
humour humor
salt salt
minorités minderheiten
intentions absichten
logo logo
présenter präsentieren
or gold
blood blood
elisabeth elisabeth
usines fabriken
ange engel
× ×
chirurgie chirurgie
manifestation demonstration
principal wichtigste
mosaïque mosaik
steve steve
feat feat
réélection wiederwahl
las las
déclare erklärte
écologie ökologie
calibre kaliber
espagne spanien
boite kasten
députés abgeordneten
rencontres begegnungen
pp pp
cuivre kupfer
fame fame
ep ep
mineur moll
armement bewaffnung
validité gültigkeit
hansen hansen
sarah sarah
trust trust
privé private
utiliser verwenden
forteresse festung
abandon abbruch
away away
tunnel tunnel
kingdom kingdom
orné verziert
commonwealth commonwealth
globes globe
détruit zerstört
biens gütern
agents agenten
histoire geschichte
derek derek
championnats weltmeisterschaften
militaire militärische
dc dc
mail mail
pennsylvanie pennsylvania
mc mc
far far
activement beteiligte
parcs parks
politicien politiker
célébrités prominente
chambre kammer
autorités behörden
totalement vollkommen
fondements grundlagen
conte märchen
couleurs farben
like like
huile öl
mare mare
wikipédia wikipedia
missionnaire missionar
figurant abgebildet
autonome autonomen
réagir reagieren
externe externe
gil gil
passion leidenschaft
english english
capteurs sensoren
gov gov
diffuse sendet
dvd dvd
joy joy
pouces zoll
valeurs werte
hollandais holländischen
firefox firefox
courbes kurven
lille dortmund
exposition ausstellung
bonaparte bonaparte
dale dale
luxembourg luxemburg
victimes opfern
doit muss
onzième fünften
systématique systematische
coloration färbung
atlanta atlanta
vendu verkauft
maigret maigret
donald donald
supplément beilage
faciliter erleichtern
christopher christopher
sex sex
londres london
informer informieren
fe fe
financiers finanziellen
mulhouse chemnitz
mathématiques mathematik
années jahren
dettes schulden
prépare bereitet
croisement kreuzung
live live
justifié gerechtfertigt
council council
allé wohin
henderson henderson
ouvrant öffnung
opera opera
technology technology
grecque griechischen
conformément gemäß
événements ereignissen
habituel üblich
ghetto ghetto
publicité werbung
soul soul
consulté abgerufen
individuels individuellen
isbn isbn
take take
chante singt
cruz cruz
prague prag
suffisante ausreichende
contribution beitrag
épais dicken
militaires militärischen
guild guild
peindre malen
soutenus unterstützten
al al
cloud cloud
appartiennent angehören
linux linux
opinion meinung
manoir herrenhaus
milieu mitte
jens jens
now now
propulsion antrieb
impliqué involviert
rose rose
assuré sichergestellt
bémol dur
acteur schauspieler
nationalité staatsangehörigkeit
pierres steine
art kunst
puisque nämlich
cartes karten
récompenses auszeichnungen
chapelle kapelle
naturels natürlichen
mâcon freising
value value
exceptions ausnahmen
rappelle erinnert
une eine
morgan morgan
feuille blatt
célèbre berühmt
vu gesehen
exclusivement ausschließlich
kilomètres kilometer
variantes varianten
pratiqué praktiziert
biography biography
beauté schönheit
apprend erfährt
treize dreizehn
forêt waldes
shaw shaw
kids kids
concentre konzentriert
lesquels denen
ouvrage standardwerk
edwin edwin
empereur kaiser
raconter erzählen
professionnels professionellen
eugène franz
développé entwickelt
palm palm
poker poker
relation beziehung
magic magic
philosophie philosophie
chili chile
simplement schlicht
marketing marketing
principales weitere
cameroun kamerun
radicaux radikalen
maintenant nun
comptes konten
expert experte
législation gesetzgebung
relative relative
danois dänischer
dietrich dietrich
maladies krankheiten
hannah hannah
situe liegt
tables tafeln
illustrateur illustrator
surveillance überwachung
mercedes mercedes
lune mond
prospérité wohlstand
cessé eingestellt
déterminer ermitteln
through through
circulation verkehr
islamique islamische
water water
nico nico
walk walk
dirigé geleitet
manga manga
catholique katholischen
catherine katharina
agit handelt
propriétés eigenschaften
précieux wertvolle
télévision fernseh
terres ländereien
duchesse herzogin
construits gebauten
temporairement vorübergehend
protection schutz
memorial memorial
aaron aaron
fournir liefern
personnels persönlichen
collectionneur sammler
importants bedeutenden
célébrer feiern
allusion anspielung
holland holland
député abgeordneter
maximum maximal
combiné kombination
organisation organisation
gran gran
comtesse gräfin
erik erik
call call
bits bit
function function
venezuela venezuela
statues statuen
camp lager
ours bären
note note
développée weiterentwicklung
symbole symbol
supérieure höhere
influence einfluss
progressif progressive
station station
populaires populäre
family family
satellite satellit
edition edition
trouvait befand
connus bekannten
mouvement bewegung
gloria gloria
constitutionnelle verfassung
palace palace
challenge challenge
hollywood hollywood
sd sd
remplace ersetzte
marque marke
étudier studieren
principauté fürstentum
pink pink
travailliste labour
 le „der
évoqué eingegangen
silva silva
stratégie strategie
transports verkehrs
gênes genua
limited limited
changea änderte
passages abschnitten
masse masse
missions missionen
ue eu
auparavant zuvor
renoncer verzichten
vert grüne
décennies jahrzehnte
partis parteien
playstation playstation
georges günter
andersen andersen
renault renault
android android
canada schweiz
na na
fr/ de/
feuilles blättern
diesel diesel
étonnant erstaunlich
revue zeitschrift
foundation foundation
relié verbunden
happy happy
eugénie therese
alberto alberto
définitivement endgültig
séparation trennung
abord zuerst
terrains geländes
quels welchen
enterré beigesetzt
relate schildert
\mathrm \mathrm
revenus einnahmen
christmas christmas
directe direkte
pèlerins pilger
danny danny
california california
cut cut
boule kugel
af af
suit folgt
esclavage sklaverei
inventeur erfinder
rattaché eingegliedert
alice alice
ukraine ukraine
grace grace
toi lass
syntaxe syntax
fonde gründet
jim jim
american american
trieste triest
boy boy
responsabilité verantwortung
onze elf
portent tragen
fiat fiat
prière gebet
adn dna
attaqué angegriffen
rock rock
karel karel
politique politik
nid nest
vraie wahre
phrase zitat
croissance wachstum
green green
mix mix
monstre monster
occasionnellement gelegentlich
com/watch com/watch
bras arm
gordon gordon
fragment fragment
allan allan
mediawiki mediawiki
yu yu
coulé versenkt
confondre verwechseln
word word
larry larry
victoire sieg
fixé festgelegt
kazakhstan kasachstan
fille tochter
humains menschlichen
comprennent umfassen
formule formel
pas nicht
obtenus gewonnenen
cash cash
cabinet kabinett
automatique automatische
thérèse theresia
pacha pascha
run run
appliqué angewandt
holding holding
hong hong
structures strukturen
subi unterzogen
angel angel
tours runden
particulière besondere
imageloc admname
rangers rangers
poèmes gedichten
étant weshalb
insectes insekten
africa africa
administrateurs administratoren
regarder anschauen
nicholas nicholas
duel duell
atmosphère atmosphäre
entraîneur trainer
girls girls
os os
eden eden
oriental oriental
moderne modernen
weber weber
réservé vorbehalten
iowa iowa
mazurie masuren
leipzig leipzig
chef chef
naquit stammte
contraire gegenteil
continuant weiter
race rasse
vidéos videos
russell russell
traducteur übersetzer
également außerdem
emmy emmy
collègue kollege
air luft
carrière karriere
regardé angeschaut
décroche belegte
pearl pearl
fleuve fluss
peinture malerei
réformes reformen
sujet thema
roumanie rumänien
mario mario
jadis einst
final final
spécialistes experten
optionnel optional
destruction zerstörung
influences einflüsse
guitariste gitarrist
exemplaires exemplaren
pilote pilot
contexte kontext
paradise paradise
financement finanzierung
astéroïde hauptgürtels
demeurent blieben
po po
oh oh
particularité besonderheit
dictature diktatur
maire bürgermeister
mourut starb
bons guten
récit erzählung
philosophe philosoph
approches ansätze
servir dienen
diriger leiten
carl carl
knight knight
intellectuelle geistigen
disparue einstigen
armstrong armstrong
pyramide pyramide
pistolet pistole
lumière licht
durée dauer
institut institut
combien wieviel
german german
aperçoit erkennt
plusieurs mehreren
fonctionner funktionieren
mtv mtv
sergueï sergei
ciel himmel
agissait handelte
calcaire kalkstein
régulière regulären
animatrice moderatorin
roumaine rumänischen
neil neil
road road
leeds leeds
rang rang
tony tony
entretenir unterhalten
chansons lieder
deux beiden
adaptation adaption
göteborg göteborg
moyenne durchschnittlich
triangle dreieck
chen chen
hit hit
sant sant
auteur autor
représentants vertretern
éric thorsten
utah utah
actuellement zurzeit
potable trinkwasser
source quelle
thomson thomson
rez erdgeschoss
revendications forderungen
sommet gipfel
victoria victoria
airways airways
princeton princeton
mason mason
autonomie autonomie
julio julio
\in \in
indépendamment unabhängig
sénateurs senatoren
quelques einige
crimée krim
signé unterzeichnet
âgé jähriger
heures stunden
transforme verwandelt
séisme erdbeben
fresques fresken
races rassen
regarde schaut
indépendance unabhängigkeit
chambres kammern
carlo carlo
variations variation
sais naja
helena helena
diplomate diplomat
cl cl
sûrement womöglich
report report
andy andy
sol boden
expansion expansion
peters peters
diversité vielfalt
moine mönch
intégré integriert
remplacé ersetzt
puf kohlhammer
ph ph
sœur schwester
enfant kind
, ,
armes waffen
accès zugang
traductions übersetzungen
beach beach
grandi aufgewachsen
génère erzeugt
picture picture
similaires ähnliche
party party
automatiquement automatisch
reçu erteilt
say say
rappeur rapper
a hat
requiem requiem
cellules zellen
comic comic
chancelier kanzler
chance chance
vita vita
institute institute
objets objekten
masculins männlichen
kelly kelly
dell dell
king king
list list
athlète leichtathlet
bientôt bald
durent mussten
km² km²
sèche trocken
danseur tänzer
envoyé geschickt
question frage
nancy aachen
convaincu überzeugt
pertes verluste
spirit spirit
balkans balkan
su su
vengeance rache
répondre beantworten
café kaffee
helsinki helsinki
comparé verglichen
indonésie indonesien
imprimé gedruckt
humides feuchten
inspiré inspiriert
imdb imdb
billboard billboard
clinique klinik
jürgen jürgen
mon meine
plata plata
connues bekannte
vs vs
communisme kommunismus
fabian fabian
carmen carmen
double doppelten
état staates
jazz jazz
lou lou
libère befreit
orlando orlando
coupole kuppel
indiquer angeben
\right \left
caucase kaukasus
voyage reise
session session
académie akademie
mp mp
devant vor
u u
sncf bundesbahn
et und
chang chang
photo foto
organe organ
généalogie genealogie
classiques klassischen
entendre hören
psychologique psychologische
basé basiert
reconstitution rekonstruktion
british british
anvers antwerpen
dégâts schäden
zone zone
devenait damalige
membre mitglied
numériques digitalen
laissa hinterließ
adams adams
journalistes journalisten
professionnelle beruflichen
doyen dekan
niger niger
orange orange
appelé genannt
candidature kandidatur
réseau netz
invités gästen
alphabet alphabet
couches schichten
madrid madrid
révision revision
jésuites jesuiten
incendie brand
vois sehe
horreur horror
unix unix
ko ko
hill hill
mondial weltweiten
laser laser
internes internen
lointain ferne
lorenzo lorenzo
défendu verteidigt
financières finanzielle
let let
bar bar
descendants nachfahren
lacs seen
pierre stein
vénus venus
psychiatre psychiater
trouver suchen
geoffrey geoffrey
planet planet
preuve beweis
légèrement leicht
épousé geheiratet
field field
h h
giuseppe giuseppe
fra fra
guitares gitarren
situent liegen
racine wurzel
amour liebe
ll ll
tallinn tallinn
semaines wochen
& &
· #weiterleitung
nicaragua nicaragua
chi chi
archives archiv
müller müller
vérité wahrheit
atteint erreicht
légumes gemüse
tang tang
imposé durchgesetzt
opération operation
liban libanon
mille tausend
baryton bariton
wagner wagner
dispositions bestimmungen
canyon canyon
paquet paket
divorce scheidung
first first
design design
dei dei
pilotes piloten
considérant betrachtete
san san
cornell cornell
segment segment
musica musica
jupiter jupiter
codex codex
film film
bassiste bassist
recommandation empfehlung
ministre minister
alimenté gespeist
afc afc
présentent weisen
cuba kuba
catégories kategorien
remporter erringen
animaux tieren
football fußball
tank tank
reprennent übernahmen
liverpool liverpool
august conrad
voix stimme
collections sammlungen
puissants mächtigen
éventuellement gegebenenfalls
highway highway
cœur herzen
www www
juive jüdischen
hiver winter
garnison garnison
apostolique apostolische
oslo oslo
secondes sekunden
united united
roman roman
éducation erziehung
version version
réponse antwort
pan pan
reference reference
minutes minuten
intellectuels intellektuellen
le das
vide leere
mener verfolgen
anglophone englischsprachige
comics comics
style stil
annie annie
cornelius cornelius
métal metall
gagnant gewinner
drame drama
survit überlebt
critiques kritiken
artillerie artillerie
leonard leonard
mali mali
comparable vergleichbar
haas haas
mais aber
peintures gemälden
adolescents jugendlichen
engagement engagement
heure stunde
éponyme gleichnamigen
systèmes systemen
speed speed
antique antiken
certains manchen
board board
alpine alpine
dispute bestritt
infection infektion
réfère bezieht
religions religionen
university university
nœuds knoten
agent agent
localités ortschaften
front front
publia publizierte
règles regeln
santos santos
jerry jerry
religieuse religiöse
courant strömung
vietnam vietnam
nebraska nebraska
positifs positiven
composante komponente
propagande propaganda
libres freien
ukrainienne ukrainischen
clients kunden
old old
essaye versucht
gay gay
courbe kurve
coach coach
hudson hudson
angola angola
rex rex
opus opus
nat nat
grès sandstein
prochain nächstes
championship championship
type typ
seuls einzigen
lucy lucy
books books
montée aufstieg
offrent bieten
cours verlauf
communication kommunikation
captain captain
ironie ironie
have have
australienne australischen
plotarea plotarea
the the
fabriquer herstellen
turcs türken
quantité menge
north north
comprends verstehe
abus missbrauch
serviteur diener
abrégé abgekürzt
interrompu unterbrochen
baseball baseball
piano klavier
institutions institutionen
tokyo tokio
pittsburgh pittsburgh
palais palast
croix kreuz
tonnes tonnen
er am
conjointement gemeinsam
questions fragen
nous uns
their their
this this
médaillé olympiasieger
curtis curtis
âge alter
play play
hughes hughes
conviction überzeugung
black black
intégrer integrieren
flash flash
nord nordwestlichen
mexique mexiko
sièges sitze
casa casa
favoriser fördern
fromage käse
corruption korruption
adresses adressen
churchill churchill
infobox infobox
group group
tenir halten
expédition expedition
médicales medizinische
fisc_epci mo–sa}}
chapitre kapitel
intensité intensität
littéralement wörtlich
aiment mögen
minsk minsk
death death
mk mk
turbine turbine
department department
sérieusement ernsthaft
tuant tötete
javier javier
ambiance stimmung
britanniques briten
palestine palästina
jersey jersey
pays ländern
confluence zusammenfluss
milite engagierte
baltimore baltimore
centaine rund
daniela daniela
abandonner aufgeben
christian christian
ncaa ncaa
document dokument
raisons gründen
solution lösung
habite wohnt
défaite niederlage
la der
partiellement vollständig
theatre theatre
thé tee
zagreb zagreb
pontificale päpstlichen
chats katzen
core core
rythme rhythmus
géologiques geologischen
résultat ergebnis
turin turin
etat staat
phase phase
gun gun
comptait einwohner
loi gesetz
présentateur moderator
revenu einkommen
steel steel
fumée rauch
euros euro
défini definiert
cologne köln
calculs berechnungen
million million
argumentation argumentation
celui letzterer
phare leuchtturm
dawn dawn
göttingen göttingen
erreurs fehler
extrêmes extremen
popularité popularität
beurre butter
vrai eigentlich
néerlandaise niederländische
edmund edmund
prouver beweisen
musées museen
anthropologie anthropologie
television television
ions ionen
érudit gelehrter
concernés betreffenden
joyce joyce
platine platin
conférences vorträge
officiers offizieren
html html
b b
elena elena
cosmos kosmos
sofia sofia
chaud warm
rosa rosa
one one
coutume brauch
ancre anker
comédie komödie
marbre marmor
discours rede
existante einbindung
vécu gelebt
secrétaire sekretär
dirigeant funktionär
batman batman
fois einmal
freud freud
into into
ordinaires gewöhnlichen
tsar zaren
foie leber
négociations verhandlungen
devrait sollte
disposées angeordnet
chris mike
éventuelles eventuelle
nomination nominierung
manchester manchester
neveu neffen
byzantine byzantinischen
personnellement persönlich
label label
européenne europäischen
good good
effectués durchgeführten
montauban ludwigsburg
mesurer messen
fabriqués hergestellten
exemple beispiel
visibles sichtbaren
défaites niederlagen
eddie eddie
utrecht utrecht
wild wild
ring ring
équipes mannschaften
vista vista
villa villa
protéger schützen
trouvaient befanden
xbox xbox
contemporary contemporary
voulait wollte
coordonnées koordinaten
horse horse
lotus lotus
tibet tibet
theodore theodore
étudiant student
serbe serbisch
plutôt eher
engage verpflichtete
couples paare
iris iris
valeur wert
principe prinzip
inventé erfunden
acteurs schauspielern
? ?
european european
monnaies münzen
rice rice
ruine verfall
development development
possibilité möglichkeit
sheffield sheffield
résolu gelöst
exclu ausgeschlossen
dave dave
étapes etappen
orient orient
adventure adventure
socialiste sozialdemokratische
samedi samstag
glen glen
flora flora
appartement wohnung
nommés benannten
gallery gallery
wolfgang karlheinz
