recorrente recurrente
corporation corporation
hidrográfica hidrográfica
formados formados
irmandade hermandad
lanterna linterna
meditação meditación
ocupações ocupaciones
importante importante
heavyweight heavyweight
fácil fácil
literal literal
visitas visitas
resíduos residuos
casa casa
coordenadas coordenadas
dominada dominada
custos costos
sinônimo sinónimo
treinadores entrenadores
natal natal
boletim boletín
creditado acreditado
rios ríos
nacionalista nacionalista
marcado marcado
furacão huracán
isolado aislado
and and
juramento juramento
proibido prohibido
domínios dominios
organizados organizados
precisou debió
story story
incluída incluida
soa suena
veja véase
oklahoma oklahoma
considero considero
falência quiebra
frequentemente frecuentemente
volante volante
committee bureau
quadras canchas
cat cat
way way
lealdade lealtad
doença enfermedad
kings kings
monarquia monarquía
administrativos administrativos
indicadores indicadores
solidariedade solidaridad
apresentam presentan
peregrinos peregrinos
wc wc
decide decide
liverpool liverpool
sonic sonic
psicológico psicológico
comissário comisario
condutor conductor
quero quiero
cônsul cónsul
nigéria nigeria
valor valor
anônimos anónimos
audiências audiencias
du du
plásticas plásticas
talvez quizá
pretende pretende
individuais individuales
dívidas deudas
consentimento consentimiento
political political
moderna moderna
princípios principios
árabe árabe
literários literarios
aviv aviv
elena elena
austrália australia
prêmio premio
perguntou preguntó
artístico artístico
fusão fusión
abertas abiertas
recebendo recibiendo
seção sección
girl girl
mangá manga
ii ii
representante representante
vê ve
processamento procesamiento
estudo estudio
vidas vidas
configuração configuración
ign ign
wellington wellington
eram eran
independentes independientes
profissão profesión
guiana guayana
irish irish
nasceu nació
rick rick
goethe goethe
guerra guerra
site web
anexação anexión
definidos definidos
considerado considerado
preston preston
assim así
gestão gestión
michelle michelle
arnold arnold
cérebro cerebro
geram generan
outono otoño
dong dong
elétrico eléctrico
pedindo pidiendo
operária obrera
publicados publicados
dans dans
rom rom
dadas dadas
pole pole
aeronaves aeronaves
acompanha acompaña
encontrados encontrados
marinheiros marineros
vilas aldeas
figurino vestuario
fresco fresco
culpa culpa
sucessos éxitos
just just
north north
religioso religioso
exposto expuesto
mágicos mágicos
acessos accesos
ensino enseñanza
críticas críticas
tido tenido
sailor sailor
avanços avances
when when
encosta ladera
alagoas trujillo
conceito concepto
wake wake
média promedio
lutadores luchadores
garante garantiza
fixa fija
leitores lectores
expedição expedición
administradores bibliotecarios
rápidos rápidos
criaturas criaturas
association association
carlos víctor
bremen bremen
ativos activos
fogos fuegos
fim fin
abundância abundancia
manipulação manipulación
índia india
hits hits
possuíam poseían
extraordinário extraordinario
chemical chemical
consagrado consagrado
reunir reunir
– –
módulos módulos
estrangeiras extranjeras
filósofos filósofos
file file
viva viva
paolo paolo
escravo esclavo
rapper rapero
declarada declarada
gustavo gustavo
laura laura
ficar ponerse
center center
com con
eliminando eliminando
cópias copias
pat pat
escolher escoger
dedicados dedicados
sandra sandra
freud freud
provocado provocado
estacionamento estacionamiento
inaugurou inauguró
bonn bonn
truth truth
randy randy
reuniram reunieron
assembleias asambleas
homem hombre
navais navales
data_pib código_postal_nombre
racismo racismo
delegados delegados
samantha samantha
homicídio homicidio
prime prime
lar hogar
pilotos pilotos
milagre milagro
princesa princesa
cuidados cuidados
better better
reais reales
colheita cosecha
angular angular
editores editores
amostras muestras
criou creó
pontifícia pontificia
aérea aérea
pares pares
gerado generado
escolares escolares
associação asociación
traduzir traducir
master master
indicar indicar
autores autores
acusado acusado
épocas épocas
oficial oficial
windsor windsor
módulo módulo
menino niño
avanço avance
rodas ruedas
damasco damasco
permaneceram permanecieron
operacional operativo
sucessivamente sucesivamente
aprovou aprobó
matando matando
aéreos aéreos
incrível increíble
eugene eugene
consigo consigo
claras claras
somando sumando
publications publications
camadas capas
eleitores electores
zeus zeus
cole cole
exclusivamente exclusivamente
stuart stuart
comércio comercio
marciais marciales
ângulos ángulos
psicologia psicología
airways airways
fechadas cerradas
nothing nothing
vago vacante
mercadorias mercancías
constante constante
graças gracias
impede impide
cemitério cementerio
correção corrección
rótulo etiqueta
nativo nativo
seria sería
total total
permitiram permitieron
capaz capaz
be be
divindade divinidad
edificação edificación
investigar investigar
recomendações recomendaciones
devemos debemos
said said
intervalo intervalo
journal journal
milhão millón
alternativa alternativa
in in
heinz heinz
manuscritos manuscritos
alcançou alcanzó
benny benny
alasca alaska
defeitos defectos
aproximadamente aproximadamente
jersey jersey
passeios paseos
condenados condenados
turístico turístico
equação ecuación
nora nora
allmusic allmusic
curso curso
sonoras sonoras
passados pasados
continuo sigo
âmbito ámbito
socorro socorro
jam jam
machado quiroga
causada causada
desapareceu desapareció
voltaram volvieron
won won
divide divide
montenegro montenegro
mísseis misiles
integridade integridad
exibido emitido
state state
championship championship
ph ph
nave nave
dançarinos bailarines
desenvolvidas desarrolladas
garantir asegurar
ensaio ensayo
metralhadoras ametralladoras
haverá habrá
desastre desastre
politicamente políticamente
combinações combinaciones
nd nd
esposa esposa
asiáticos asiáticos
pênalti penalti
is is
enzimas enzimas
generalizada generalizada
lázaro lázaro
college college
cinzas cenizas
voltaria volvería
assinada firmada
diversão diversión
fenômenos fenómenos
britânica británica
version version
rota ruta
editar editar
db db
raf raf
china china
cama cama
inspirado inspirado
osso hueso
ligações enlaces
medalhas medallas
frequentou asistió
miriam esther
toneladas toneladas
children children
primeiras primeras
descendente descendiente
hospital hospital
tomás tomás
sabemos sabemos
fadas hadas
fases fases
servia servía
automaticamente automáticamente
ritual ritual
guido guido
anualmente anualmente
oitava octava
internet internet
encarnação encarnación
cyrus cyrus
usuários usuarios
seções secciones
peça pieza
montar montar
desenvolvida desarrollada
reduzido reducido
caro caro
madrid barcelona
orchestra orchestra
pátria patria
manto manto
retirou retiró
generation generation
faça haga
defesa defensa
caixas cajas
productions productions
missionários misioneros
limão limón
low low
correto correcto
fly fly
míssil misil
trens trenes
tecnológico tecnológico
estocolmo estocolmo
flight flight
lourdes lourdes
year year
douglas douglas
shane shane
pântanos pantanos
porte porte
tentou intentó
capítulos capítulos
lake lake
celulares celulares
independente independiente
pódio podio
mãe madre
possam puedan
emma emma
provenientes procedentes
dourado dorado
boêmia bohemia
cantores cantantes
calma calma
latim latín
tabaco tabaco
shelley shelley
gravidez embarazo
baseando basándose
pacto pacto
atuava desempeñaba
janela ventana
básica básica
feminista feminista
periélio perihelio
monarca monarca
solicito solicito
utilizada utilizada
moon moon
desaparece desaparece
serão serán
electronic electronic
escapa escapa
pretendia pretendía
conselheiros consejeros
drop drop
serviço servicio
portugal españa
pagamento pago
pierce pierce
fornecer proporcionar
estação estación
fornecimento suministro
viveram vivieron
profundas profundas
short short
ricas ricas
teatral teatral
text text
uniformes uniformes
marítimo marítimo
lineares lineales
consumidores consumidores
oficina taller
orange orange
construindo construyendo
tubarão tiburón
construir construir
poesia poesía
imensa inmensa
adotou adoptó
ranking ranking
cincinnati cincinnati
premiado premiado
gravando grabando
pacote paquete
inside inside
soma suma
weekly weekly
bebê bebé
africa africa
plantbase boiss
nuclear nuclear
portuária portuaria
notáveis notables
aborto aborto
ligava unía
wu wu
decidiram decidieron
lutador luchador
marta nieves
abuso abuso
termina finaliza
itálico cursiva
agressão agresión
bandas bandas
braço brazo
níger níger
escritores escritores
death death
afluente afluente
boeing boeing
companheiro compañero
break break
iniciais iniciales
japanese japanese
caráter carácter
prefeitos alcaldes
promover promover
controlado controlado
considerável considerable
sejam sean
escritora escritora
pediram pidieron
repetição repetición
atlanta atlanta
hospitais hospitales
pintor pintor
notável notable
claramente claramente
centro centro
chamar llamarse
macho macho
lhes les
case case
catalunha cataluña
poucas pocas
medical medical
estimativa estimación
razões razones
phantom phantom
extensão extensión
banco banco
dividiu dividió
journey journey
postal postal
inicialmente inicialmente
monges monjes
trabalhar trabajar
abreviado abreviado
participante participante
liberais liberales
coronel coronel
justa justa
rugby rugby
betty betty
receptores receptores
félix félix
tipicamente típicamente
liderança liderazgo
marxista marxista
p p
presta presta
extensões extensiones
nixon nixon
habitualmente habitualmente
caçadores cazadores
antecedentes antecedentes
espiritual espiritual
conde conde
segmento segmento
filmado filmado
australiano australiano
calção pantalón
chanceler canciller
ain ain
abrindo abriendo
transforma transforma
studies studies
funcionários funcionarios
pintado pintado
houve hubo
code code
parcial parcial
sílvio gerardo
isto esto
maximiliano maximiliano
pi pi
borda borde
mesas mesas
centímetros centímetros
alcançar alcanzar
mp mp
moradores pobladores
ginásio gimnasio
promocional promocional
herói héroe
vendedor vendedor
porco cerdo
borgonha borgoña
conjunta conjunta
próximos próximos
correspondência correspondencia
amaro roque
bobby bobby
acessórios accesorios
novato novato
gabriela gabriela
vírus virus
intenções intenciones
constituinte constituyente
phillips phillips
advogado abogado
alexandra alexandra
variante variante
gráfico gráfico
volumes volúmenes
col col
animados animados
) (
barra barra
frases frases
imposto impuesto
bloquear bloquear
consciente consciente
ilustrações ilustraciones
fascista fascista
escalas escalas
repente repente
shanghai shanghai
razoável razonable
database database
instrumentos instrumentos
procedimento procedimiento
severo severo
conjunto conjunto
oh oh
nbc nbc
razão razón
combustíveis combustibles
utah utah
filho hijo
ardenas ardenas
müller müller
construídos construidos
misteriosa misteriosa
causados causados
unido unido
magnus magnus
orgânica orgánica
estimada estimada
desconhecidas desconocidas
servem sirven
culture culture
políticos políticos
capturar capturar
rádio emisora
ce ce
modernismo modernismo
laterais laterales
bravo bravo
ricky ricky
chefes jefes
documentação documentación
ambos ambos
? ?
populações poblaciones
esquina esquina
quatro cuatro
textos textos
definidas definidas
jura jura
eds eds
leão león
these these
duques duques
moderno moderno
benito benito
secundária secundaria
imediato inmediato
quantidades cantidades
wp wp
happy happy
suave suave
rudolf rudolf
yellow yellow
network network
foot foot
roth roth
assentos asientos
now now
pânico pánico
energy energy
francesco francesco
partiu partió
tratava trataba
hawk hawk
formalmente formalmente
amigas amigas
território territorio
especialista especialista
líquido líquido
hollywood hollywood
stop stop
define define
oferecem ofrecen
vizinhas vecinas
qual cual
causando causando
limitada limitada
banho baño
klein klein
impressão impresión
históricas históricas
visível visible
rain rain
macacos monos
amour amour
produzido producido
ocupada ocupada
disto ello
individual individual
definitivamente definitivamente
dignidade dignidad
refúgio refugio
guarnição guarnición
otomano otomano
preferem prefieren
nervoso nervioso
líbia libia
system system
anunciou anunció
jedi jedi
net net
bowl bowl
sucedido exitoso
refugiados refugiados
veneza venecia
selos sellos
contrato contrato
destacaram destacaron
príncipe príncipe
cornell cornell
diminuição disminución
exibição exhibición
dezoito dieciocho
montana montana
tanta tanta
parentesco parentesco
virgem virgen
declínio declive
antropologia antropología
profissional profesional
persa persa
base base
fictícia ficticia
vendida vendida
recorrentes recurrentes
lenda leyenda
terreno terreno
estabelecido establecido
datado fechado
ruínas ruinas
isoladas aisladas
avô abuelo
pertencente perteneciente
tokyo tokyo
executado ejecutado
munição munición
negativa negativa
mares mares
piper piper
docente docente
cujo cuyo
mentor mentor
northern northern
pobre pobre
pai padre
mencionados mencionados
old old
comenta comenta
futura futura
testar probar
andreas andreas
subdivisão_tipo tipo_adm_
concacaf concacaf
interino interino
nutrição nutrición
comunista comunista
facilidade facilidad
gordon gordon
produto producto
rússia rusia
existindo existiendo
gerou generó
abertamente abiertamente
selecionado seleccionado
soccer soccer
motivação motivación
antiga antigua
despesas gastos
fique quede
war war
marrocos marruecos
métrica métrica
pensava pensaba
consoles consolas
jurídicos jurídicos
conduz conduce
denis denis
adotado adoptado
spencer spencer
protocolo protocolo
notas notas
tigres tigres
admite admite
pinheiro robles
progressivo progresivo
dezembro febrero
cego ciego
obriga obliga
costumam suelen
ilustrador ilustrador
marketing marketing
metros metros
ideologia ideología
julieta julieta
consequência consecuencia
hot hot
poucos pocos
crenças creencias
cristianismo cristianismo
dividem dividen
batizado bautizado
matérias materias
marcar marcar
gráfica gráfica
disputando disputando
between between
human human
acordes acordes
critica critica
bartolomeu blas
adolfo adolfo
suficientemente suficientemente
rap rap
setor sector
sintetizadores sintetizadores
trazido traído
destinadas destinadas
turco turco
confirmação confirmación
plataformas plataformas
participado participado
camada capa
pensamento pensamiento
tipo tipo
rapazes muchachos
aquitânia aquitania
barca barca
camisa camiseta
acusou acusó
fraco débil
condições condiciones
elaborar elaborar
derrota derrota
cem cien
consecutivos consecutivos
equações ecuaciones
menezes acevedo
limitado limitado
evil evil
subordem suborden
viaja viaja
externa externa
donald donald
eleitoral electoral
start start
court court
lionel lionel
selecionada seleccionada
várias varias
críticos críticos
entusiasmo entusiasmo
alemã alemana
variação variación
noroeste noroeste
confederações confederaciones
alguns algunos
assinado firmado
planetas planetas
criticado criticado
pedra piedra
festivais festivales
amanda amanda
fundo fondo
aberta abierta
epic epic
latindo ¿dónde
tira tira
requerem requieren
us us
retórica retórica
ofícios oficios
vento viento
pedido pedido
sociais sociales
proeminente prominente
quando cuando
craig craig
gala gala
comunistas comunistas
atacados atacados
apaixonada enamorada
garotas chicas
quente caliente
relacionados relacionados
locomotivas locomotoras
coletânea recopilatorio
transtornos trastornos
bonita bonita
adicionando añadiendo
racional racional
referia refería
processador procesador
terroristas terroristas
democratas demócratas
policial policial
incêndio incendio
pequenas pequeñas
vinil vinilo
conto cuento
típica típica
fogo fuego
azul azul
ring ring
atletismo atletismo
sinos campanas
concentrações concentraciones
under under
estáveis estables
cf cf
atp atp
reduziu redujo
idade edad
bulgária bulgaria
aparição aparición
estável estable
rider rider
modificação modificación
deveres deberes
concurso concurso
embaixador embajador
cruzamento cruce
afirmou afirmó
meridiano meridiano
reno rin
vendidas vendidas
vandalismo vandalismo
conselho consejo
abrir abrir
rebaixamento descenso
fina fina
observações observaciones
presidida presidida
observa observa
identificar identificar
metodologia metodología
alternativas alternativas
renomeado renombrado
vendendo vendiendo
material material
word word
back back
mundo mundo
ligeiramente ligeramente
significava significaba
chuvas lluvias
verbal verbal
brilho brillo
telefone teléfono
full full
aircraft aircraft
caracteres caracteres
marcados marcados
mística mística
visitantes visitantes
otomanos otomanos
interpretações interpretaciones
telenovelas telenovelas
harper harper
dispostas dispuestas
amada amada
apareceram aparecieron
efetuar efectuar
folha hoja
hermann hermann
hulk hulk
formais formales
bebidas bebidas
money money
amarelas amarillas
decomposição descomposición
paper paper
! !
perseguir perseguir
rancho rancho
she she
busca búsqueda
estudado estudiado
peixe pez
wendy wendy
houston houston
categorias categorías
objetos objetos
indústrias industrias
cancelado cancelado
revolucionário revolucionario
parentes parientes
fosse fuese
aquiles aquiles
apresentar presentar
xangai shanghái
ned ned
diários diarios
vigente vigente
voar volar
km² km²
chão suelo
stones stones
}}} }}}
corda cuerda
blumenau iquique
considerações consideraciones
galerias galerías
excelência excelencia
diplomática diplomática
plantações plantaciones
nuvens nubes
patentes patentes
mero mero
lorena lorena
juntou unió
diretório directorio
doce dulce
limitar limitar
reeleito reelegido
genes genes
levado llevado
modificar modificar
álbum álbum
discovery discovery
dançarina bailarina
anos años
propôs propuso
springs springs
nobreza nobleza
mina mina
hero hero
nacionais nacionales
unidade unidad
instância instancia
grávida embarazada
palmer palmer
enviar enviar
quem quién
chip chip
lola lola
home home
ajudado ayudado
dedo dedo
posso puedo
mosteiro monasterio
tocado tocado
mulher mujer
aeroportos aeropuertos
grupos grupos
inútil inútil
motors motors
guerreiros guerreros
localidades localidades
comediante comediante
anteriores anteriores
oculta oculta
sintetizador sintetizador
pôde pudo
encontradas encontradas
wilson wilson
central central
antilhas antillas
semanais semanales
ex ex
grama césped
arábia arabia
correr correr
classificou clasificó
hd hd
orelhas orejas
companheiros compañeros
barão barón
medievais medievales
things things
tvi telecinco
nossos nuestros
desenvolvendo desarrollando
newton newton
gênio genio
bradley bradley
invasões invasiones
á a
recorrer recurrir
contrário contrario
tradicionalmente tradicionalmente
conhecer conocer
aquisição adquisición
utilizar utilizar
documento documento
bandeiras banderas
ciro ciro
recebia recibía
traje traje
comercialmente comercialmente
últimas últimas
horários horarios
praga praga
rebounds rebounds
densa densa
inventário inventario
mudam cambian
curioso curioso
som sonido
middle middle
sydney sídney
clássicos clásicos
incorporada incorporada
rádios emisoras
mantiveram mantuvieron
modern modern
berço cuna
escapar escapar
instabilidade inestabilidad
reproduzir reproducir
crimeia crimea
candidatos candidatos
demonstrar demostrar
sintaxe sintaxis
especificamente específicamente
blade blade
maria maría
oferta oferta
fixação fijación
mississippi misisipi
reconhecer reconocer
absurdo absurdo
lutas luchas
canais canales
ritos ritos
válida válida
resistentes resistentes
comunicação comunicación
altos altos
católicas católicas
violência violencia
comédia comedia
realizar realizar
comunitário comunitario
chefe jefe
emite emite
professora profesora
soviético soviético
conference conference
moderada moderada
suzuki suzuki
kb kb
sanção sanción
vence vence
realizaram realizaron
cannes cannes
revistas revistas
gramática gramática
southern southern
medalhista medallista
bateria batería
actos actos
assuntos asuntos
eurovisão eurovisión
solicitado solicitado
mortais mortales
diana diana
bahamas bahamas
europa europa
proteger proteger
diárias diarias
dama dama
contatos contactos
aquático acuático
competiu compitió
vapor vapor
high high
italiana italiana
hoje hoy
constituído constituido
attack attack
inventor inventor
básico básico
ca ca
queremos queremos
grau grado
ludwig ludwig
possivelmente posiblemente
violento violento
recuperou recuperó
orientação orientación
recebido recibido
jade jade
primordial primordial
jornalista periodista
canhões cañones
posicionamento posicionamiento
maya maya
olho ojo
weber weber
ontem ayer
associadas asociadas
automático automático
cruzador destructor
apostólica apostólica
fred billy
ss ss
western western
espião espía
estabelecidas establecidas
unânime unánime
compromissos compromisos
nomeados nombrados
final final
young young
repouso reposo
modernização modernización
fita cinta
guarani guaraní
iowa iowa
transparência transparencia
aux aux
rob rob
cambridge cambridge
ensinou enseñó
homens hombres
desenho dibujo
pesquisador investigador
tesouros tesoros
esparta esparta
referindo refiriéndose
massacre masacre
fk fk
desaparecimento desaparición
cinco cinco
financiamento financiamiento
diogo alonso
retira retira
italiano italiano
maior mayor
ampliada ampliada
ernesto ernesto
invenção invención
hábitos hábitos
precursor precursor
produzida producida
ray ray
socialismo socialismo
fontana fontana
roubo robo
aceitou aceptó
disponível disponible
precedido precedido
correndo corriendo
arbitragem arbitraje
por por
andy andy
saint saint
tese tesis
rito rito
palm palm
gavião halcón
wwe wwe
soldados soldados
benefícios beneficios
selecionadas seleccionadas
touch touch
other other
explosão explosión
produtores productores
algum algún
apresentado presentado
fantasmas fantasmas
bairros barrios
preparada preparada
cristão cristiano
primário primario
ocupou ocupó
sai sale
estudante estudiante
sabor sabor
esperava esperaba
fan fan
explica explica
precisão precisión
companhia compañía
pertencer pertenecer
tenista tenista
mudou mudó
femininos femeninos
self self
menores menores
bottom bottom
fórmulas fórmulas
sonda sonda
masters masters
propriamente propiamente
demografia demografía
almirante almirante
conheceu conoció
postos puestos
reforma reforma
medicamento medicamento
porque porque
downloads descargas
romances novelas
inaugurado inaugurado
sérvio serbio
trânsito tránsito
demográfico demográfico
vegas vegas
universe universe
defendido defendido
africana africana
hand hand
bacharel bachiller
ramón jaume
encostas laderas
study study
neerlandês neerlandés
vinha venía
registro registro
armazém almacén
domésticos domésticos
corre corre
par par
estabeleceu estableció
étnicos étnicos
ordens órdenes
escolar escolar
principal principal
castelo castillo
debates debates
maiúsculas mayúsculas
constitucional constitucional
t t
ucraniana ucraniana
christopher christopher
convergência convergencia
cobertura cobertura
nível nivel
absoluta absoluta
denominado denominado
contínua continua
honorário honorario
trevor trevor
fixo fijo
milão milán
fungos hongos
único único
voto voto
tal tal
burns burns
optou optó
fine fine
link link
valores valores
crystal crystal
aparecido aparecido
instável inestable
tolerância tolerancia
você usted
reportagens reportajes
situados situados
títulos títulos
tardio tardío
juliana alejandra
opera opera
choque choque
verona verona
programas programas
ávila borja
paramount paramount
ko ko
silêncio silencio
veterano veterano
protagonistas protagonistas
tecnologias tecnologías
ocupa ocupa
convivência convivencia
cabine cabina
caça caza
confirmar confirmar
lloyd lloyd
campanhas campañas
dizem dicen
favorita favorita
equador ecuador
ofício oficio
poço pozo
promovido promovido
áfrica áfrica
anfíbios anfibios
décimo décimo
program program
prata plata
chase chase
gelo hielo
estiveram estuvieron
todd todd
tenham hayan
terrestres terrestres
samba tango
situa sitúa
make make
modernidade modernidad
williams williams
fisiologia fisiología
distingue distingue
anunciaram anunciaron
stefan stefan
+ +
entendimento entendimiento
operação operación
clínicas clínicas
cosme cosme
conversa conversación
star star
mães madres
floresta bosque
episcopal episcopal
juízes jueces
garoto muchacho
bot bot
piscina piscina
acusados acusados
sintomas síntomas
instalação instalación
empatou empató
cruzada cruzada
point point
aprovação aprobación
redução reducción
pessoalmente personalmente
hectares hectáreas
espectral espectral
… …
vaticano vaticano
destacados destacados
limited limited
particularmente particularmente
afélio afelio
peço pido
baseball baseball
cálculos cálculos
filhas hijas
contra contra
dunas dunas
metropolitana metropolitana
estima estima
demasiado demasiado
police police
falhou falló
descreveu describió
" "
geral general
predadores depredadores
padrão estándar
adjacentes adyacentes
helicópteros helicópteros
apóstolos apóstoles
falam hablan
internacionalmente internacionalmente
aproximar acercarse
coloca coloca
escrituras escrituras
brigada brigada
tinta tinta
outras otras
je je
treinos entrenamientos
dom cisneros
meu mío
diz dice
deuses dioses
presidenciais presidenciales
ucraniano ucraniano
inaugural inaugural
escolas escuelas
lírico lírico
querer querer
flor flor
adão adán
françois françois
concedeu concedió
ênfase énfasis
kew kew
estabelecendo estableciendo
quartel cuartel
pelotão pelotón
clone clon
sentia sentía
amiga amiga
lutar luchar
câmaras cámaras
picos picos
coreografia coreografía
ra ra
alpha alpha
centre centre
comparação comparación
vidro vidrio
der der
equivale equivale
noção noción
vingança venganza
bell bell
sebastian sebastian
concessão concesión
artéria arteria
tons tonos
atacar atacar
one one
registrar registrar
lorde lord
iniciaram iniciaron
algoritmo algoritmo
encontrado encontrado
mesopotâmia mesopotamia
versão versión
circo circo
mitologia mitología
fiscais fiscales
domingos domingo
ll ll
demos demos
segundos segundos
hardcore hardcore
mudar cambiar
artificial artificial
moscou moscú
bach bach
chamavam llamaban
fraude fraude
execução ejecución
federações federaciones
inclusão inclusión
radiação radiación
medieval medieval
mama mama
placas placas
modelo modelo
externo externo
saem salen
luigi luigi
infantaria infantería
recentemente recientemente
publicou publicó
cáucaso cáucaso
foguetes cohetes
ferrari ferrari
f f
tempos tiempos
vanguarda vanguardia
ball ball
negras negras
onu onu
detalhe detalle
turística turística
indígena indígena
poços pozos
testemunha testigo
ciência ciencia
recreativo recreativo
fornecem proporcionan
aldeia aldea
till till
est est
coco coco
coreia corea
toque toque
alexandre alejandro
piauí cundinamarca
mar mar
comuna comuna
software software
intenso intenso
wright wright
aposentadoria jubilación
paralelas paralelas
fbi fbi
renunciou renunció
american american
secret secret
planícies llanuras
cristais cristales
sets sets
viajar viajar
descanso descanso
und und
judaísmo judaísmo
ambientais ambientales
work work
dificuldade dificultad
grega griega
comentário comentario
juntas juntas
falecida fallecida
trabalhavam trabajaban
utiliza utiliza
intérprete intérprete
mutação mutación
palestina palestina
conan conan
cornélio cornelio
songs songs
mediação mediación
marco marco
declarado declarado
arquipélago archipiélago
comunicar comunicarse
conheceram conocieron
consideravam consideraban
snake snake
dizendo diciendo
retrato retrato
contribuições contribuciones
esposas esposas
impressa impresa
tcheca checa
diferem difieren
orações oraciones
encontravam encontraban
mhz mhz
protestantes protestantes
troço tramo
empréstimos préstamos
estatísticas estadísticas
conservadora conservadora
ampliado ampliado
íris iris
proprietários propietarios
expressões expresiones
escândalo escándalo
democracia democracia
livres libres
carter carter
exige exige
encontros encuentros
secular secular
criadas creadas
amizade amistad
iniciado iniciado
vi vi
billboard billboard
completos completos
ganhar ganar
integrados integrados
impostos impuestos
consideração consideración
postura postura
rich rich
symphony symphony
sanções sanciones
art art
ki ki
beyond beyond
nota nota
retomar retomar
destrói destruye
quest quest
zelândia zelanda
palavras palabras
presidencial presidencial
faculdade facultad
substituída sustituida
aviões aviones
suíço suizo
esquecer olvidar
bus bus
titulares titulares
atrizes actrices
coração corazón
nada nada
pimentel carvajal
pronto listo
colégio colegio
fighters fighters
dick dick
raios rayos
municipal municipal
islands islands
zoológico zoológico
espaciais espaciales
condenação condena
three three
hino himno
férias vacaciones
knight knight
limpar limpiar
compensação compensación
regimentos regimientos
blog blog
turismo turismo
expressou expresó
otto otto
construído construido
servindo sirviendo
limitados limitados
eleitorais electorales
paralelos paralelos
registra registra
demônios demonios
constituintes constituyentes
brava brava
oferecendo ofreciendo
espacial espacial
aplicou aplicó
aproveitando aprovechando
águas aguas
tração tracción
virtuais virtuales
repete repite
demitido despedido
extremo extremo
wall wall
international international
serviram sirvieron
/ /
energética energética
papas papas
sinal señal
entrevistas entrevistas
incluídas incluidas
humor humor
desfile desfile
montanhosa montañosa
santuário santuario
org org
altar altar
crítico crítico
menos menos
ec ec
festas fiestas
cortes cortes
hinos himnos
mini mini
paredes paredes
chang chang
desenhista dibujante
mínima mínima
jane jane
públicas públicas
compositores compositores
junto junto
secretário secretario
especializada especializada
efetiva efectiva
aberto abierto
princípio principio
mw mw
sentença sentencia
pérsia persia
seio seno
variáveis variables
dialetos dialectos
education education
filosófico filosófico
king king
bombardeio bombardeo
intercâmbio intercambio
barbosa echeverría
pitkin wiley
tag tag
escondido escondido
pen pen
afeganistão afganistán
médicos médicos
adquiriu adquirió
molécula molécula
adulta adulta
winston winston
inc inc
regras reglas
frades frailes
howard howard
amador aficionado
castigo castigo
costumes costumbres
sólida sólida
super super
fame fame
berlim berlín
iso iso
strange strange
inferior inferior
verso verso
manual manual
feitas hechas
concluir concluir
sonho sueño
dispõe dispone
estrangeiros extranjeros
turcos turcos
ausente ausente
começo comienzo
joy joy
reconstrução reconstrucción
alain alain
idioma idioma
delegação delegación
barro barro
incluir incluir
eterna eterna
renomeada renombrada
anterior anterior
próximas próximas
medeiros quintero
fez hizo
ken ken
fazendo haciendo
destacada destacada
conter contener
folhas hojas
poemas poemas
introdução introducción
haven haven
think think
acabou acabó
sustenta sostiene
termos términos
descritos descritos
green green
acompanhou acompañó
solicitou solicitó
barco barco
anna anna
operador operador
delgado delgado
motores motores
equivalente equivalente
aceitável aceptable
carnaval carnaval
isolamento aislamiento
formal formal
praças plazas
natureza naturaleza
parágrafo párrafo
causaram causaron
pirenéus pirineos
cápsula cápsula
menu menú
bang bang
provas pruebas
jamaica jamaica
folclore folclore
dinossauro dinosaurio
químicos químicos
atingem alcanzan
empresas empresas
mestre maestro
logan logan
prazo plazo
books books
região región
conexões conexiones
construtor constructor
considerada considerada
deputada diputada
garras garras
ângulo ángulo
iraniano iraní
depender depender
impor imponer
holland holland
prazer placer
istambul estambul
assassino asesino
fight fight
kyle kyle
fora fuera
convenceu convenció
− −
gratuita gratuita
defende defiende
fall fall
ornamental ornamental
ash ash
detalhes detalles
considerava consideraba
loucura locura
danos daños
permanentes permanentes
run run
linnaeus linnaeus
dentes dientes
guerras guerras
theodor theodor
taxonomia taxonomía
diamond diamond
balada balada
lagoa laguna
tenente teniente
possuir poseer
ma ma
vidal vidal
exclusivo exclusivo
outrora antaño
herança herencia
xxi xxi
assentamentos asentamientos
plural plural
desses esos
poética poética
incêndios incendios
church church
saldo saldo
concede concede
anunciada anunciada
maldição maldición
julian julian
wade wade
migração migración
apoiando apoyando
unir unir
circuito circuito
criam crean
agricultura agricultura
tanto tanto
oito ocho
promessa promesa
invadir invadir
notre notre
irmãos hermanos
camponeses campesinos
roger roger
desenvolveram desarrollaron
capas portadas
enfrentou enfrentó
campeã campeona
mesma misma
lesão lesión
pierre pierre
antuérpia amberes
edit edit
lucia lucia
washington washington
diária diaria
rumo rumbo
alerta alerta
contraste contraste
pessoal personal
eficaz eficaz
aeronave aeronave
baixas bajas
salinas salinas
aprende aprende
décadas décadas
,a ,a
urban urban
locais locales
vida vida
governado gobernado
infância infancia
estátua estatua
espada espada
bloqueio bloqueo
pudesse pudiera
legítimo legítimo
ala ala
localizar localizar
mai mai
vinho vino
caso caso
tomam toman
parou detuvo
pertencentes pertenecientes
fugir huir
grammy grammy
experiências experiencias
